key;en
monsterName[0];Zombie
monsterName[1];Agent
monsterName[2];Zombie Soldier
monsterName[3];Zombie Miner
monsterName[4];Demon
monsterName[5];Cutter
monsterName[6];DEAD-Man
monsterName[7];Bot 0x1
monsterName[8];Bot 0x2
AAnames[0];Vertical Door
AAnames[1];Horizontal Door
AAnames[2];Lift
AAnames[3];Energy Field
triggerTypeName[0];Switch (on/off)
triggerTypeName[1];Turn On (Open)
triggerTypeName[2];Turn Off (Close)
triggerTypeName[3];Teleport
triggerTypeName[4];Exit
triggerConditionActivateName[0];Player nearby
triggerConditionActivateName[1];Player pressed
triggerConditionActivateName[2];Damage received
triggerNeedKeyName[0];Red Key
triggerNeedKeyName[1];Green Key
triggerNeedKeyName[2];Blue Key
triggerNeedKeyName[3];Gold Key
gameItemsNames[0];Torch
gameItemsNames[1];K Step
gameItemsNames[2];D Step
gameItemsNames[3];Letter
gameItemsNames[4];Door
gameItemsNames[5];Steel Door
gameItemsNames[6];Steel Door 2
gameItemsNames[7];Double Wooden Door
gameItemsNames[8];Double Steel Door
gameItemsNames[9];Gate
gameItemsNames[10];Lamp
gameItemsNames[11];Chandelier
gameItemsNames[12];Red Ball
gameItemsNames[13];Green Ball
gameItemsNames[14];Blue Ball
gameItemsNames[15];Barrel
gameItemsNames[16];Iron Barrel
gameItemsNames[17];Iron Barrel 2
gameItemsNames[18];Grave
gameItemsNames[19];Fence
gameItemsNames[20];Enclosure
gameItemsNames[21];Enclosure 2
gameItemsNames[22];Picture
gameItemsNames[23];Picture 2
gameItemsNames[24];Bench
gameItemsNames[25];Bench 2
gameItemsNames[26];Mushrooms
gameItemsNames[27];Fern
gameItemsNames[28];Camomile
gameItemsNames[29];Grass
gameItemsNames[30];Flowers
gameItemsNames[31];Table 1
gameItemsNames[32];Table 2
gameItemsNames[33];Chair
gameItemsNames[34];Chest
gameItemsNames[35];Torch
gameItemsNames[36];Block Lamp (white)
gameItemsNames[37];Block Lamp (blue)
gameItemsNames[38];Block Lamp (green)
gameItemsNames[39];Respawn
gameItemsNames[40];Red Respawn
gameItemsNames[41];Blue Respawn
gameItemsNames[42];Green Respawn
gameItemsNames[43];Gold Respawn
gameItemsNames[44];Bullet Respawn
gameItemsNames[45];Cartridge Respawn
gameItemsNames[46];Rocket Respawn
gameItemsNames[47];Energy Respawn
gameItemsNames[48];Medkit Respawn
gameItemsNames[49];Armor Respawn
gameItemsNames[50];Handgun Respawn
gameItemsNames[51];Sawed-off Respawn
gameItemsNames[52];Uzi Respawn
gameItemsNames[53];Submachine Gun Respawn 
gameItemsNames[54];Grenade Launcher Respawn
gameItemsNames[55];Anti-Tank Respawn
gameItemsNames[56];Zombie Respawn
gameItemsNames[57];Button
gameItemsNames[58];Lever
gameItemsNames[59];Wall Lever
gameItemsNames[60];Teleport
gameItemsNames[61];Invisible Switch
gameItemsNames[62];Zombie Respawn
gameItemsNames[63];Agent Respawn
gameItemsNames[64];Soldier Respawn
gameItemsNames[65];Miner Respawn
gameItemsNames[66];Demon Respawn
gameItemsNames[67];Hidden Item
gameItemsNames[68];Block Lamp (yellow)
gameItemsNames[69];Block Lamp (red)
gameItemsNames[70];Bed
gameItemsNames[71];Steel Ladder
gameItemsNames[72];Rope
gameItemsNames[73];Steel Steps
gameItemsNames[74];Fir
gameItemsNames[75];Snow fir
gameItemsNames[76];Big fir
gameItemsNames[77];ATV Respawn
gameItemsNames[78];Springboard 3х1
gameItemsNames[79];Springboard 3х2
gameItemsNames[80];Springboard 3х3
gameItemsNames[81];Machine-gun Respawn
gameItemsNames[82];Banshee Respawn
gameItemsNames[98];Blinding grenade
gameItemsNames[99];Explosion package
gameItemsNames[100];Green Tree
gameItemsNames[101];Blue Tree
gameItemsNames[102];Autumn Tree
gameItemsNames[103];Grow a Wall
gameItemsNames[104];Medkit and Armor
gameItemsNames[106];Bullet Set
gameItemsNames[107];Dynamite
gameItemsNames[108];Mine
gameItemsNames[109];Water of Life
gameItemsNames[110];Vertical Door
gameItemsNames[111];Horizontal Door
gameItemsNames[112];Mine Shaft
gameItemsNames[113];Energy Field
gameItemsNames[114];Bullet Clip
gameItemsNames[115];Cartridge Clip
gameItemsNames[116];Wire
gameItemsNames[117];Rocket Clip
gameItemsNames[118];Energy Clip
gameItemsNames[119];Mega Ammo
gameItemsDesc[0];Lights dark places
gameItemsDesc[9];Huge castle gates
gameItemsDesc[10];A wall-mounted electric light
gameItemsDesc[11];A chandelier for the ceiling
gameItemsDesc[12];Beautifully lights dark places
gameItemsDesc[13];Beautifully lights dark places
gameItemsDesc[14];Beautifully lights dark places
gameItemsDesc[35];A torch in the ground which lights a large area
gameItemsDesc[36];For buildings
gameItemsDesc[37];For buildings
gameItemsDesc[38];For buildings
gameItemsDesc[39];A respawn for non-team game modes.
gameItemsDesc[40];Red Team respawn
gameItemsDesc[41];Blue Team respawn
gameItemsDesc[42];Green Team respawn
gameItemsDesc[43];Gold Team respawn
gameItemsDesc[44];Appears in battle after some time
gameItemsDesc[45];Appears in battle after some time
gameItemsDesc[46];Appears in battle after some time
gameItemsDesc[47];Appears in battle after some time
gameItemsDesc[48];Appears in battle after some time
gameItemsDesc[49];Appears in battle after some time
gameItemsDesc[50];Appears in battle after some time
gameItemsDesc[51];Appears in battle after some time
gameItemsDesc[52];Appears in battle after some time
gameItemsDesc[53];Appears in battle after some time
gameItemsDesc[54];Appears in battle after some time
gameItemsDesc[55];Appears in battle after some time
gameItemsDesc[56];Monsters appear in Survival Mode
gameItemsDesc[67];Hide your items. Others will look for them!
gameItemsDesc[68];For buildings
gameItemsDesc[69];For buildings
gameItemsDesc[75];lit garlands
gameItemsDesc[76];lit garlands
gameItemsDesc[98];Explosion blinding the enemy
gameItemsDesc[99];Explodes at a throw
gameItemsDesc[100];Grows a randomly-sized green tree
gameItemsDesc[101];Grows a randomly-sized blue tree
gameItemsDesc[102];Grows a randomly-sized orange-colored tree
gameItemsDesc[103];Builds 4 blocks on the selected side
gameItemsDesc[104];Restores health and armor
gameItemsDesc[106];Refills bullets and cartridges
gameItemsDesc[107];Explodes in 5 seconds
gameItemsDesc[108];Explodes when approached
gameItemsDesc[109];Respawns a character in survival mode
gameItemsDesc[119];300bullets, 100cartridges, 50rockets, 300energy
specItemsName[0];Rocket Pack
specItemsName[1];Russian Dance
specItemsName[2];Crazy Dance
specItemsName[3];Hit it, Baby!
specItemsName[4];Acrobat
specItemsName[5];Eeee!
specItemsName[6];Victory!
specItemsName[7];Failure!
specItemsName[8];Follow Me!
specItemsDesc[0];Activated with a jump
specItemsDesc[1];Dance - H
specItemsDesc[2];Dance - H
specItemsDesc[3];Dance - H
specItemsDesc[4];Dance - H
specItemsDesc[5];Dance - H
specItemsDesc[6];Dance - H
specItemsDesc[7];Dance - H
specItemsDesc[8];Dance - H
move_learn;Learn
RankName[0];Newbie
RankName[1];Junior Recruit
RankName[2];Recruit
RankName[3];Senior Recruit
RankName[4];Recruit 1st Class
RankName[5];Soldier
RankName[6];Private Recruit
RankName[7];Private 2nd Class
RankName[8];Private
RankName[9];Private 1st Class
RankName[10];Specialist
RankName[11];Senior Specialist
RankName[12];Specialist 1st Class
RankName[13];Scout
RankName[14];Junior Corporal
RankName[15];Corporal
RankName[16];Commander
RankName[17];Sergeant 3rd Class
RankName[18];Sergeant 2nd Class
RankName[19];Sergeant 1st Class
RankName[20];Gunnery Sergeant 3rd Class
RankName[21];Gunnery Sergeant 2nd Class
RankName[22];Gunnery Sergeant 1st Class
RankName[23];Commander
RankName[24];Junior Officer
RankName[25];Senior Officer
RankName[26];Junior Lieutenant
RankName[27];Second Lieutenant
RankName[28];Lieutenant
RankName[29];Captain
RankName[30];Reconnaissance Captain
RankName[31];Special Ops Captain
RankName[32];Lieutenant Colonel
RankName[33];Colonel
RankName[34];General
RankName[35];General of the Army
RankName[36];Commander in Chief
RankName[37];Marshal
RankName[38];Detachment Captain
RankName[39];Detachment Major
RankName[40];General Lieutenant
RankName[41];Detachment Colonel
RankName[42];General Colonel
RankName[43];Detachment Marshal
RankName[44];Avenger
RankName[45];Madman
findPrefabsNames[0];Secret Document
findPrefabsNames[1];Uranium
buildinMapName[33];Bay
buildinMapName[34];Island
buildinMapName[35];Plains
buildinMapName[36];River
buildinMapName[37];Crossroads
buildinMapName[38];Vast Plains
advices[0];Colored Chinese lanterns are wonderful lighting for dark places!
advices[1];Anti-Tank rockets with Mouse Guidance.
advices[2];Your apparel gives you stat bonuses!
advices[3];Don’t forget to buy some bullets for combat!
advices[4];The crossbow has infinite ammo.
advices[5];F10 - Don’t forget to save your map!
advices[6];F10 - Don’t forget to save your map!
advices[7];All blocks are free for VIP players.
advices[8];VIP players’ levels and money increase more quickly 
advices[9];Press V to activate voice chat
advices[10];Any game in which one of your friends is playing is shown on the right
advices[11];Walk over the grave of a dead player and he’ll respawn
advices[12];In Survival Mode, you only receive 10% as much experience for a kill as you do in battle
advices[13];If you delete an item from a map, it will NOT be moved to your inventory
advices[14];Don’t like your map, but don’t have enough for a new slot? Generate a new map!
advices[15];You get 2 bonus gold for your 5th day of playing!
advices[16];A VIP Character’s Inventory (C) is 2 stars better!
advices[17];A VIP Character’s Inventory (C) is 2 stars better!
gameTypeStr[0];Everything Allowed
gameTypeStr[1];Construction
gameTypeStr[2];Free For All
gameTypeStr[3];Survival
gameTypeStr[4];Teams
gameTypeStr[5];Mission
buildinMapName[0];Crossfire
buildinMapName[1];Meat Block
buildinMapName[2];City
buildinMapName[3];Pool
buildinMapName[4];Mansion
buildinMapName[5];Warehouse
buildinMapName[6];Island
buildinMapName[7];Zion Tech
buildinMapName[8];Dunes
buildinMapName[9];Zombie City
buildinMapName[10];Arena
buildinMapName[11];Bibz
buildinMapName[12];Strike
buildinMapTeamsName[0];River
buildinMapTeamsName[1];Arena
buildinMapTeamsName[2];Two Towers
buildinMapTeamsName[3];Strike
teamName[0];Red
teamName[1];Blue
teamName[2];Green
teamName[3];Gold
graphStrs[0];Fastest
graphStrs[1];Fast
graphStrs[2];Medium
graphStrs[3];Medium High
graphStrs[4];High
graphStrs[5];Ultra
weaponNames[0];Pickax
weaponNames[1];Pistol
weaponNames[2];Handgun
weaponNames[3];Sawed-Off
weaponNames[4];Uzi
weaponNames[5];Submachine Gun
weaponNames[6];Grenade Launcher
weaponNames[7];Anti-Tank
weaponNames[8];Laser Sword
weaponNames[9];Sword
weaponNames[10];Plasma Gun
weaponNames[11];Sniper Rifle
weaponNames[12];Minigun
weaponNames[13];Flamethrower
weaponNames[14];Chainsaw
weaponNames[15];Baseball Bat
weaponNames[16];Machine Gun
weaponNames[17];Big Grenade Launcher
weaponNames[18];AK-47
weaponNames[19];BFG
weaponNames[20];Ripper
weaponNames[21];Laser
weaponNames[22];Pistol
weaponNames[23];Plasma Sniper Rifle
weaponNames[24];Magic Wand
weaponNames[25];Snowball Cannon
weaponNames[26];Plasma Gun
clothesName[0];
clothesName[1];
clothesName[2];
clothesName[3];Cowboy Hat
clothesName[4];Cowboy Hat
clothesName[5];Cowboy Hat
clothesName[6];Green Overshoes
clothesName[7];Crimson Overshoes
clothesName[8];Grinders
clothesName[9];Combat Boots
clothesName[10];Field Boots
clothesName[11];Yellow Overshoes
clothesName[12];Astroboots
clothesName[13];Bieber Hairdo
clothesName[14];Hairdo
clothesName[15];Emo Hairdo
clothesName[16];Chestnut Hairdo
clothesName[17];Blond Hairdo
clothesName[18];Cap
clothesName[19];Green Mohawk
clothesName[20];Purple Mohawk
clothesName[21];Red Mohawk
clothesName[22];Yellow Mohawk
clothesName[23];Afro
clothesName[24];Rambo Hairdo
clothesName[25];Yellow Helmet
clothesName[26];Hard Hat
clothesName[27];Helmet
clothesName[28];Vader Helmet
clothesName[29];Pathfinder Helmet
clothesName[30];Pathfinder Armor
clothesName[31];Vader Armor
clothesName[32];Armored Vest
clothesName[33];Iron Armor
clothesName[34];Ammo Belt
clothesName[35];Golden Chain
clothesName[36];Pathfinder Bag
clothesName[37];Backpack
clothesName[38];Briefcase
clothesName[39];Stalker Shoulder Pads
clothesName[40];Vader Shoulder Pads
clothesName[41];Iron Shoulder Pads
clothesName[42];Stalker Gauntlets
clothesName[43];Smartwatch
clothesName[44];Iron Gauntlet
clothesName[45];Wristlet
clothesName[46];Watch
clothesName[47];Blue Hairdo
clothesName[48];Woman’s Backpack
clothesName[49];Cutter’s Mask
clothesName[50];Guy Fawkes Mask
clothesName[51];Magic Cowl
clothesName[52];Magic Cowl
clothesName[53];Pumpkin
clothesName[54];Glasses
clothesName[55];Hard Hat
clothesName[56];Peaked Cap
clothesName[57];Hat
skinName[0];Standard
skinName[1];Drugan
skinName[2];Afro
skinName[3];Pathfinder
skinName[4];Soldier
skinName[5];Rambo
skinName[6];Iron Man
skinName[7];Vader
skinName[8];Agent
skinName[9];Girl
skinName[10];Cop
skinName[11];Saitan Claus
bulletsNames[0];Bullets
bulletsNames[1];Cartridges
bulletsNames[2];Rockets
bulletsNames[3];Energy
AAS_Position;Position
AAS_Upper;Higher
AAS_Lower;Lower
AAS_Far;Farther
AAS_Near;Closer
AAS_Right;Right
AAS_Left;Left
AAS_Size;Sizes
AAS_Higher;Taller
AAS_Smaller;Shorter
AAS_Longer;Longer
AAS_Shorter;Shorter
AAS_Wider;Wider
AAS_Uje;Match
AAS_Opening_for_N_sec;Opening for
sec;seconds
AAS_rotation;Rotate
save;Save
BCS_cant_save_if_joined;---You cannot save your map after you’ve joined a game!---
BCS_only_owner_can_save;---Only the map owner can save the map!---
BCS_cant_save_in_battle;---You cannot save a map while in combat!---
BCS_end_round;Round End
BCS_levelUpStrs[0];ALRIGHT!
BCS_levelUpStrs[1];KEEP IT UP!
BCS_levelUpStrs[2];EXCELLENT!
BCS_levelUpStrs[3];MAGNIFICENT!
BCS_levelUpStrs[4];LEVEL UP!
BCS_endGame_timeout;TIME’S UP!
BCS_endGame_ban;YOU’VE BEEN BANNED!
BCS_endGame_noSuvivours;No survivors!
BCS_endGame_gameOver;GAME OVER!
BCS_endGame_lostConnection;Connection lost...
BCS_endGame_tryAgain;Try again!
BCS_ban_from_server;--- You’ve been banned from the server ---
BCS_disable_miscrophone;Disable Microphone
BCS_to_speak_press;Press V to talk
BCS_enable_microphone;Enable Microphone
BCS_then_press_allow;Then press Allow
BCS_get_VIP_to_speak;Get VIP Status\nto use your\nmicrophone
BCS_start_test;Test Map
BCS_resume_game;Continue Game (`)
BCS_save_map;Save Map (F10)
BCS_inventory_shop;Inventory/Store (C)
BCS_exit_from_game;Exit Game
BCS_allowed;ALLOWED:
BCS_notallowed;FORBIDDEN:
BCS_noobs_to_build;New players building
BCS_forbidBuild;Forbid building
BCS_allowBuild;Allow building
BCS_ban;BAN
BCS_end_test;End map test
BCS_name;Name
BCS_frags;Kills
BCS_deathes;Deaths
BCS_wait_while_saving;The map is being saved. Please wait...
BCS_dont_forget_save_map;DON’T FORGET TO\nSAVE YOUR\nMAP!
BCS_save_and_exit;SAVE AND EXIT
BCS_dont_save_exit;Exit without saving
BCS_new_level;New level!
BCS_new_rang;Your new rank:
next;Next
BCS_exp;Experience
BCS_time;Time
BCS_frags_per_minute;Kills per Minute
BCS_earned;Earned in this battle:
BCS_choose_team;SELECT A TEAM
score;Score
BCS_enter;Enter
BCS_loading;Loading...
BCS_advice;Advice
BCS_speak_then_release;Speak then\nrelease V
BCS_speaker_disabled;---Microphone disabled. Press Esc(`)---
howto_play;F1 - How do I play?
howto_menu;Esc(`) - Menu
howto_close;F1 - Close Help
howto_walk;Walk - WASD
howto_jump;Jump - Spacebar
howto_placeCube1;Place Block/Item
howto_placeCube2;right mouse button
howto_removeCube1;Clear Block
howto_removeCube2;left mouse button
howto_inventory;C - Inventory
howto_chooseItem;1, 2, 3... - Item Selection
howto_savemap;F10 - Save Map
howto_chat;Enter - Chat
howto_voiceChat;V - Voice Chat
howto_fullscreen;F12 - Fullscreen
howto_options;O - Options
speedHackDetected;SpeedHack detected
strTutor[0];Welcome to the firing range, soldier! Your training will be conducted in near-combat conditions. Your first mission: find an entrance to the abandoned laboratory! To start, look around and find a way out of this cave!
strTutor[1];Looks like a trap door! It leads to the laboratory. Press the button to open the door.
strTutor[2];Those columns of dust at the end of the room - that’s a secret anti-gravity lift in development! To activate it, press the button to the left of the lift.
strTutor[3];Good job! I like how you get things done! Now, there should be a door at the end of this corridor. Looks like we’ve reached the laboratory!
strTutor[4];Halt! Look! There’s a hostile zombie in the adjacent room. PRESS C, grab your pickax and destroy the enemy!
strTutor[5];You continue to surprise me, soldier! Now things are about to get really interesting!
strTutor[6];Now you need a more powerful weapon. Here, take this submachine gun.
strTutor[7];Weapons can be updated in the inventory, at the same time to increase the size of clip
strTutor[8];A grenade launcher. And a horde of zombies behind that door. You know what to do.
strTutor[9];Great job, soldier! Head to the teleport!
strTutor[20];Here's your world! Let me tell you how to build things in it.
strTutor[23];Good job! Look, it's nighttime. We need some more light!
strTutor[25];Excellent! Time to save your map! Press F10.
strTutor[26];Now you can build whatever you'd like! Have fun!
miniStrTutor[0];Find the tunnel in the cave
miniStrTutor[1];Flip the lever to open the door
miniStrTutor[2];Press the button to activate the lift
miniStrTutor[3];Get to the laboratory
miniStrTutor[4];Use your pickax to destroy the zombie
miniStrTutor[5];Climb the steps to the surface.
miniStrTutor[6];Take the submachine gun
miniStrTutor[7];Press R and buy some bullets
miniStrTutor[8];Destroy all of the zombies
miniStrTutor[9];Step into the teleport
miniStrTutor[25];Save Map - F10
tutor_need_reload;Press R to use another clip
tutor_reload;R - Reload
tutor_choose_weapons;Select the Weapons section
tutor_choose_bullets;Select the Ammo section
tutor_buy_ammo;Buy a clip
tutor_close_inventory;Close your Inventory (C or the X button)
tutor_kill_monsters;Open the door and destroy the monsters
tutor_placeCube;Place a block with the right mouse button
tutor_placeMoreCubes;Place more blocks
tutor_open_inventory;Press C to open your Inventory
tutor_choose_cubes;Select the Blocks section
tutor_choose_nature;Select the Nature section
tutor_choose_any_cube;Select any block
tutor_place_cube_inventar;Place a block in your Quick Inventory
tutor_remove_cube;Clear a block with the left mouse button
tutor_remove_cubes_more;Clear more blocks
tutor_place_fire;Place a torch with the right mouse button
tutor_choose_decor;Select the Decorations section
tutor_choose_light;Select the Light section
tutor_choose_fire;Select the torch
tutor_buy_one_fire;Buy 1 torch
tutor_place_fire_inventar;Place the torch in your Quick Inventory
tutor_kill_zombie_and_go;Kill the zombies and go through the door
tutor_choose_axe;Select the Pickax
tutor_buy_axe_forever;Buy a pickax
tutor_place_axe_inventar;Place the pickax in your Quick Inventory
short_name;--- Your name must be longer than 3 characters ---
rang_table;Rankings
params_health;Max Health
params_armor;Max Armor
param_speed;Speed
param_jump;Jump
param_defend;Endurance
vip_not_enougth;VIP - not enough gold
vip_activated;VIP status activated!
bank_name;BANK
inventory_name;INVENTORY
maximum;Max
hello_chiter;Hello, cheater. Your attempt to cheat has been recorded. Don’t do it again!
server_error;Server error.
ban_cheater;Hello, cheater. You have been banned.
loading_data;Loading data.
newGameMapTypeStr[0];My Maps
newGameMapTypeStr[1];Standard Maps
filterGameTypeStr[0];Any Battle Type
filterGameTypeStr[1];Free For All
filterGameTypeStr[2];Construction
filterGameTypeStr[3];Survival
filterGameTypeStr[4];Teams
mapCanBreakStr[0];Any
mapCanBreakStr[1];No Destruction
mapCanBreakStr[2];Destruction
mapDayLightStr[0];Any
mapDayLightStr[1];Day
mapDayLightStr[2];Day and Night
mapDayLightStr[3];Night
serverTypeStr[0];Server
serverTypeStr[1];My\nMaps
serverTypeStr[2];Any\nMap
begin_game;Start Game
any_map;Any Map
map;Map
self_map;Player Map
wrong_password;--- INVALID PASSWORD! --- (password written below)
respawnTimeStr[0];10 seconds
respawnTimeStr[1];30 seconds
respawnTimeStr[2];1 minute
respawnTimeStr[3];2 minutes
respawnTimeStr[4];5 minutes
respawnTimeStr[5];10 minutes
respawnTimeStr[6];30 minutes
respawnTimeStr[7];no respawning
monster_options;Monster respawn point options
monster_type;Monster Type
ressurection_time;Respawn Time
error_empty_map;Empty map! Try another game.
player_can_build_now;building is now allowed
player_cant_build_now;building is forbidden!
opt_name;Options
opt_graph;Graphics
opt_worse;Lower
opt_better;Higher
opt_sound;Sound
opt_silent;Quieter
opt_louder;Louder
opt_empty_screen;Empty\nScreen
opt_smooth_follow;Smooth\nMovement
opt_close;Close (O)
connect_failed;Connection failed.
create_room_failed;Room creation failed.
put_on_items;--- Place on switches ---
cube_occupied;--- This block is busy ---
to_delete_press;Press DEL to delete
to_move_press;Press E to move
to_activate_press;Press F to activate
to_rotate_press;Press R to rotate
to_edit_press;Press T to edit options
cant_build_ask_admin;Building is forbidden. Contact the map’s administrator.
cant_change_world;You cannot change the world in the current game mode.
not_enougth_cubes;No more blocks. Time to fight!
beside_world;--- Beyond the Map ---
place_on_cube_side;--- place this on the side of a block ---
place_on_ceil;--- place this on the ceiling ---
cant_already_remove;You cannot clear anything else. Time to fight!
find_item_choose_type;Select an item type
find_item_type;Item Type
apply;USE
_for;for
ps_choose_new_item_place;Select a new location to place this item.
ps_press_for_respawn;Press jump (Spacebar) to respawn
ps_you_dead_try_again;You’re dead! Try the mission again
ps_survival_dead;You’ll respawn at the start of the next wave (or if another player walks past the place you died).
ps_survival_if_VIP;If you have VIP status, you’ll respawn in 30 seconds.
ps_use_vita_water;To respawn, use some Water of Life (Inventory (C) - Items)
ps_press_for_use_vita_water;To respawn, press X, and your Water of Life will bring you back
ps_before_respawn_secs;Time left until respawn
ps_health_and_armor_restored;Health and armor restored
ss_loading;Loading
social_tell_friends;Tell Your Friends
social_menu;Add to Menu
social_invite_friends;Invite Friends
social_group;Join Group
social_invite_num_friends;Invite 3 Friends
social_tell_about_game;Tell Friends about the Game
social_install_game;Install Game
trig_options;Switch Options
trig_type;Switch Type
trig_triggered_if;Switch Condition:
trig_need_for_triggering;Switch Requirements:
trig_mission_exit;Leave this mission!
wire_put_on_switch;You can only place a wire on a switch!
wire_options;Wire Options
wire_signal_delay;Signal Delay
wire_connected_with;Wire connected to
wire_not_connected;not connected
wire_connected_moveable_cubes;Movable Blocks
wire_connected_switch;Switch
wire_connected_item;Item
wire_connected_coords;Coordinates
wire_connect_to;Connect Wire
wire_choose_connect_to;Select a place to connect the wire to. (For teleporting, a simple block. For other mechanics, movable blocks, items, or switches.)
plazm_grenade_gun;Plasma Grenade Launcher
seconds;Seconds
secondu;Second
secondy;Seconds
minutes;Minutes
minutu;Minute
minuty;Minutes
monsters;Monsters
monstra;Monsters
viral_title;Complete the mission and get a reward
viral_bonus;Reward
player_exit;has left the game
player_joined;has joined the game
need_bullets_nothing;nothing
need;Required
put_on;Equip
activities_title;Movement
shots_per_sec;Shots/sec:
requireBullets;Use: 
offer_text[0];Ladies and gentlemen, take your time only today has a unique sale. 50% Discounts for these products 
offer_text[1];Best price for gold
offer_text[2];More bucks and experience at missions
monster_health_mult;Health multiplier 
monster_damage_mult;Damage multiplier
monster_state;With these parameters, the monster's new status
boss;Boss
newYearBoss_mission_adv;Secret Mission
newYearBoss_mission_need_level;Requires level 5.
transport_options;Configuring transport spawn 
transport_type;Transport type
transportName[0];ATV
transportName[1];Turret 
transportName[2];Banshee
to_drive_press;Press (F) to use
no_place_to_drive;--- All the seats are occupied! ---
press_to_end_drive;Press (F) for exit
mission_name[1];Tutorial
mission_name[2];Defending the Village
mission_name[4];Defending the Village
mission_name[5];In Search of Blueprints
