German
init_nickname;Geben Sie einen Charakternamen:
is_weapon_power;Leistung:
is_cash;Bargeld:
is_gold;Gold:
is_upgrade;aktualisieren -
is_weapon_ammo_has;Verfügbar:
is_weapon_ammo_buy;"Kaufen"
is_need_more;benötigt
is_buy_for;kaufen für
player_level;Level:
player_rank;Aktueller Rang:
player_kills;Kills:
xp_next;XP bis zum nächsten Level
is_nick;Name:
is_no_bonus;Keine Boni
is_no_item;nichts
mission_developing;Mission noch in der Entwicklung
mission_closed;Deaktivieren Sie die vorherige Mission mit 3 Sternen zuerst.
episode_developing;Folge noch in der Entwicklung
MissionType[0];<Leer>
MissionType[1];Finden Sie eine Ausfahrt
MissionType[2];Halten Sie Ausschau nach {0}
MissionType[3];Töten Sie {0} {1}
MissionType[4];Finden Sie die {0}
MissionType[5];Finden Sie die {0} in {1}
MissionType[6];Töten Sie {0} {1} in {2}
CubesTypes[0];Natur
CubesTypes[1];Bau
CubesTypes[2];dekorativ
CubesTypes[3];Glas
CubesTypes[4];Wasser
CubesTypes[5];Metall
DecorTypes[0];Licht
DecorTypes[1];Möbel
DecorTypes[2];Türen
DecorTypes[3];Leitern
DecorTypes[4];Blumen
DecorTypes[5];Dekor
DecorTypes[6];Respawn
DecorTypes[7];Straßen
DecorTypes[8];Bewaffnung
DecorTypes[9];Monsters
ItemsTypes[0];Bau
ItemsTypes[1];besondere
ItemsTypes[2];Kampf
ItemsTypes[3];Bewegung
WeaponTypes[0];Bewaffnung
WeaponTypes[1];Munition
CharacterPages[0];Zusammenfassung
CharacterPages[1];Kleider
CharacterPages[2];Parameter
CharacterPages[3];VIP-Status
DeviceTypes[0];Schalter \ nund Wires
DeviceTypes[1];Türen, Aufzüge, \ nund Plattformen
DeviceTypes[2];Fahrzeuge
ClothesType[0];Haut
ClothesType[1];Kopf
ClothesType[2];Torso
ClothesType[3];zurück
ClothesType[4];Waffen
ClothesType[5];Beine
ClothesType[6];Schultern
monsterName[0];Zombie
monsterName[1];Agent
monsterName[2];Zombie-Soldat
monsterName[3];Zombie Miner
monsterName[4];Dämon
monsterName[5];Cutter
monsterName[6];DEAD-Man
monsterName[7];Bot 0x1
monsterName[8];Bot 0x2
AAnames[0];Vertikale Tür
AAnames[1];Horizontal Tür
AAnames[2];Aufzug
AAnames[3];Energie-Feld
triggerTypeName[0];Schalter (Ein / Aus)
triggerTypeName[1];Turn On (Open)
triggerTypeName[2];Turn Off (Close)
triggerTypeName[3];teleportieren
triggerTypeName[4];Ausgang
triggerConditionActivateName[0];Spieler in der Nähe
triggerConditionActivateName[1];Spieler gedrückt
triggerConditionActivateName[2];Schaden erhalten
triggerNeedKeyName[0];Red Key
triggerNeedKeyName[1];Green Key
triggerNeedKeyName[2];Blue Key
triggerNeedKeyName[3];Gold Key
gameItemsNames[0];Fackel
gameItemsNames[1];K Schritt
gameItemsNames[2];D Schritt
gameItemsNames[3];Schreiben
gameItemsNames[4];Tür
gameItemsNames[5];Stahltür
gameItemsNames[6];Stahltür 2
gameItemsNames[7];Doppelholztür
gameItemsNames[8];Doppelstahltür
gameItemsNames[9];Tor
gameItemsNames[10];Lampe
gameItemsNames[11];Kronleuchter
gameItemsNames[12];Red Ball
gameItemsNames[13];Green Ball
gameItemsNames[14];Blue Ball
gameItemsNames[15];Fass
gameItemsNames[16];Eisen Barrel
gameItemsNames[17];Eisen Barrel 2
gameItemsNames[18];Grab
gameItemsNames[19];Zaun
gameItemsNames[20];Anlage
gameItemsNames[21];Anlage 2
gameItemsNames[22];Bild
gameItemsNames[23];Bild 2
gameItemsNames[24];Bank
gameItemsNames[25];Bank 2
gameItemsNames[26];Pilze
gameItemsNames[27];Farn
gameItemsNames[28];Kamille
gameItemsNames[29];Gras
gameItemsNames[30];Blumen
gameItemsNames[31];Tabelle 1
gameItemsNames[32];Tabelle 2
gameItemsNames[33];Stuhl
gameItemsNames[34];Brust
gameItemsNames[35];Fackel
gameItemsNames[36];Block-Lampe (weiß)
gameItemsNames[37];Block-Lampe (blau)
gameItemsNames[38];Block-Lampe (grün)
gameItemsNames[39];Respawn
gameItemsNames[40];Red Respawn
gameItemsNames[41];Blau Respawn
gameItemsNames[42];Grüne Respawn
gameItemsNames[43];Gold-Respawn
gameItemsNames[44];Einschuss Respawn
gameItemsNames[45];Cartridge Respawn
gameItemsNames[46];rocket-Respawn
gameItemsNames[47];Energie Respawn
gameItemsNames[48];Medkit Respawn
gameItemsNames[49];Rüstung Respawn
gameItemsNames[50];Handgun Respawn
gameItemsNames[51];Abgesägte Respawn
gameItemsNames[52];Uzi Respawn
gameItemsNames[53];SMG-Waffen Respawn
gameItemsNames[54];Granatwerfer Respawn
gameItemsNames[55];Anti-Tank Respawn
gameItemsNames[56];Zombie Respawn
gameItemsNames[57];Knopf
gameItemsNames[58];Hebel
gameItemsNames[59];Wand Lever
gameItemsNames[60];teleportieren
gameItemsNames[61];Unsichtbare Schalter
gameItemsNames[62];Zombie Respawn
gameItemsNames[63];Agent-Respawn
gameItemsNames[64];Soldat Respawn
gameItemsNames[65];Miner Respawn
gameItemsNames[66];Dämon Respawn
gameItemsNames[67];versteckte Artikel
gameItemsNames[68];Block-Lampe (gelb)
gameItemsNames[69];Block-Lampe (rot)
gameItemsNames[70];Bett
gameItemsNames[71];Stahlleiter
gameItemsNames[72];Seil
gameItemsNames[73];Stahl Stufen
gameItemsNames[74];Tanne
gameItemsNames[75];Schnee Tanne
gameItemsNames[76];Große Tanne
gameItemsNames[77];ATV Respawn
gameItemsNames[78];Springboard 3x1
gameItemsNames[79];Springboard 3x2
gameItemsNames[80];Springboard 3x3
gameItemsNames[81];Machine-gun Respawn
gameItemsNames[82];Banshee Respawn
gameItemsNames[98];Blinding Granate
gameItemsNames[99];Explosions Paket
gameItemsNames[100];Green Tree
gameItemsNames[101];Blue Tree
gameItemsNames[102];Herbst-Baum
gameItemsNames[103];Wachsen einer Wand
gameItemsNames[104];Medkit und Rüstung
gameItemsNames[106];Kugel-Set
gameItemsNames[107];Dynamit
gameItemsNames[108];Mine
gameItemsNames[109];Wasser des Lebens
gameItemsNames[110];Vertikale Tür
gameItemsNames[111];Horizontal Tür
gameItemsNames[112];Mine Shaft
gameItemsNames[113];Energie-Feld
gameItemsNames[114];Kugel-Clip
gameItemsNames[115];Patronenrahmen
gameItemsNames[116];Draht
gameItemsNames[117];rocket-Clip
gameItemsNames[118];Energie Clip
gameItemsNames[119];Mega Ammo
gameItemsDesc[0];Lichter dunklen Orten
gameItemsDesc[9];Große Burgtore
gameItemsDesc[10];Ein an der Wand montierte elektrische Licht
gameItemsDesc[11];Ein Kronleuchter für die Decke
gameItemsDesc[12];Schön beleuchtet dunkle Orte
gameItemsDesc[13];Schön beleuchtet dunkle Orte
gameItemsDesc[14];Schön beleuchtet dunkle Orte
gameItemsDesc[35];Eine Fackel in den Boden, die eine große Fläche leuchtet
gameItemsDesc[36];Für Gebäude
gameItemsDesc[37];Für Gebäude
gameItemsDesc[38];Für Gebäude
gameItemsDesc[39];Ein Respawn für Nicht-Team-Spiel-Modi.
gameItemsDesc[40];Red Team Respawn
gameItemsDesc[41];Blue Team Respawn
gameItemsDesc[42];Green Team Respawn
gameItemsDesc[43];Gold Mannschaft Respawn
gameItemsDesc[44];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[45];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[46];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[47];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[48];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[49];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[50];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[51];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[52];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[53];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[54];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[55];Erscheint nach einiger Zeit in der Schlacht
gameItemsDesc[56];Monster erscheinen im Survival-Modus
gameItemsDesc[67];Verstecken Sie Ihre Artikel. Andere werden nach ihnen suchen!
gameItemsDesc[68];Für Gebäude
gameItemsDesc[69];Für Gebäude
gameItemsDesc[75];beleuchteten Girlanden
gameItemsDesc[76];beleuchteten Girlanden
gameItemsDesc[98];Explosion blendend, den Feind
gameItemsDesc[99];Explodiert bei einem Wurf
gameItemsDesc[100];Wächst eine zufällig großen grünen Baum
gameItemsDesc[101];Wächst eine zufällig großen blauen Baum
gameItemsDesc[102];Wächst eine zufällig große orangefarbene Baum
gameItemsDesc[103];Baut 4 Blöcke auf der ausgewählten Seite
gameItemsDesc[104];Stellt Gesundheit und Rüstung
gameItemsDesc[106];Refills Kugeln und Patronen
gameItemsDesc[107];Explodiert in 5 Sekunden
gameItemsDesc[108];Explodiert bei Annäherung
gameItemsDesc[109];Respawns ein Zeichen im Survival-Modus
gameItemsDesc[119];300bullets, 100cartridges, 50rockets, 300energy
specItemsName[0];Raketenrucksack
specItemsName[1];Russian Dance
specItemsName[2];Verrückter Tanz
specItemsName[3];Hit it, baby!
specItemsName[4];Akrobat
specItemsName[5];EEEE!
specItemsName[6];Sieg!
specItemsName[7];Fehler!
specItemsName[8];Follow Me!
specItemsDesc[0];Aktiviert mit einem Sprung
specItemsDesc[1];Tanz - H
specItemsDesc[2];Tanz - H
specItemsDesc[3];Tanz - H
specItemsDesc[4];Tanz - H
specItemsDesc[5];Tanz - H
specItemsDesc[6];Tanz - H
specItemsDesc[7];Tanz - H
specItemsDesc[8];Tanz - H
move_learn;lernen
RankName[0];Newbie
RankName[1];Junior Recruit
RankName[2];Rekrut
RankName[3];Ältere Recruit
RankName[4];Recruit 1. Klasse
RankName[5];Soldat
RankName[6];Privat Recruit
RankName[7];Privat 2. Klasse
RankName[8];privat
RankName[9];Private 1st Class
RankName[10];Spezialist
RankName[11];Senior Specialist
RankName[12];Specialist 1st Class
RankName[13];Kundschafter
RankName[14];Junior Korporal
RankName[15];Korporal
RankName[16];Kommandant
RankName[17];Sergeant 3. Klasse
RankName[18];Sergeant 2. Klasse
RankName[19];Sergeant 1. Klasse
RankName[20];Gunnery Sergeant 3. Klasse
RankName[21];Gunnery Sergeant 2. Klasse
RankName[22];Gunnery Sergeant 1. Klasse
RankName[23];Kommandant
RankName[24];Junior Offizier
RankName[25];Rangälteste
RankName[26];Junior Lieutenant
RankName[27];Leutnant
RankName[28];Leutnant
RankName[29];Kapitän
RankName[30];Reconnaissance Kapitän
RankName[31];Special Ops Kapitän
RankName[32];Oberstleutnant
RankName[33];Oberst
RankName[34];General
RankName[35];General der Armee
RankName[36];Oberbefehlshaber
RankName[37];Marschall
RankName[38];Detachment Kapitän
RankName[39];Detachment-Dur
RankName[40];Allgemein Lieutenant
RankName[41];Detachment Oberst
RankName[42];Allgemein Oberst
RankName[43];Detachment Marshal
RankName[44];Rächer
RankName[45];Wahnsinnige
findPrefabsNames[0];Geheimdokument
findPrefabsNames[1];Uran
newMapTypeName[0];Bucht
newMapTypeName[1];Insel
newMapTypeName[2];Flachland
newMapTypeName[3];Fluss
newMapTypeName[4];Kreuzung
newMapTypeName[5];Vast Plains
advices[0];Farbige Lampions sind wunderbare Beleuchtung für dunkle Orte!
advices[1];Anti-Tank Raketen mit Maus Guidance.
advices[2];Ihre Kleidung gibt stat Sie Prämien!
advices[3];Vergessen Sie nicht, ein paar Kugeln für den Kampf zu kaufen!
advices[4];Die Armbrust hat unendlich Munition.
advices[5];F10 - Vergessen Sie nicht, Ihre Karte zu retten!
advices[6];F10 - Vergessen Sie nicht, Ihre Karte zu retten!
advices[7];Alle Bausteine ​​sind für VIP-Spieler frei.
advices[8];VIP-Spieler Ebenen und Geld Erhöhung schneller
advices[9];Drücken Sie V Voice-Chat zu aktivieren
advices[10];Jedes Spiel, in dem einer Ihrer Freunde spielt auf der rechten Seite angezeigt wird
advices[11];Gehen Sie über das Grab eines toten Spieler und er wird respawnen
advices[12];Im Survival-Modus, erhalten Sie nur 10% so viel Erfahrung bei einer Tötung, wie Sie in der Schlacht tun
advices[13];Wenn Sie ein Element aus einer Karte zu löschen, wird es nicht in Ihr Inventar verschoben werden
advices[14];Mögen Sie Ihre Karte nicht, haben aber nicht genug für einen neuen Slot? Erzeugen Sie eine neue Karte!
advices[15];Sie erhalten 2 Bonus-Gold für Ihren fünften Tag zu spielen!
advices[16];Ein VIP-Charakter Inventory (C) 2 Sterne besser!
advices[17];Ein VIP-Charakter Inventory (C) 2 Sterne besser!
gameTypeStr[0];Alles erlaubt
gameTypeStr[1];Bau
gameTypeStr[2];Free For All
gameTypeStr[3];Überleben
gameTypeStr[4];Teams
gameTypeStr[5];Mission
buildinMapName[0];Crossfire
buildinMapName[1];Fleisch-Block
buildinMapName[2];City
buildinMapName[3];Pool
buildinMapName[4];Villa
buildinMapName[5];Lager
buildinMapName[6];Insel
buildinMapName[7];Zion Tech
buildinMapName[8];Dunes
buildinMapName[9];Zombie-Stadt
buildinMapName[10];Arena
buildinMapName[11];Bibz
buildinMapName[12];Streik
buildinMapTeamsName[0];Fluss
buildinMapTeamsName[1];Arena
buildinMapTeamsName[2];Zwei Türme
buildinMapTeamsName[3];Streik
teamName[0];Rote
teamName[1];blau
teamName[2];grün
teamName[3];Gold
graphStrs[0];Schnellste
graphStrs[1];schnell
graphStrs[2];Medium
graphStrs[3];mittel Hoch
graphStrs[4];hoch
graphStrs[5];Ultra-
weaponNames[0];Picke
weaponNames[1];Pistole
weaponNames[2];Handwaffe
weaponNames[3];Abgesägte
weaponNames[4];Uzi
weaponNames[5];Maschinenpistole
weaponNames[6];Granatwerfer
weaponNames[7];Anti-Tank
weaponNames[8];Laser-Schwert
weaponNames[9];Schwert
weaponNames[10];Plasma Gun
weaponNames[11];Sniper Rifle
weaponNames[12];Minigun
weaponNames[13];Flammenwerfer
weaponNames[14];Kettensäge
weaponNames[15];Baseballschläger
weaponNames[16];Maschinengewehr
weaponNames[17];Big Grenade Launcher
weaponNames[18];AK-47
weaponNames[19];BFG
weaponNames[20];Ripper
weaponNames[21];Laser
weaponNames[22];Pistole
weaponNames[23];Plasma Sniper Rifle
weaponNames[24];Zauberstab
weaponNames[25];Schneeball-Kanone
weaponNames[26];Plasma Gun
clothesName[0];
clothesName[1];
clothesName[2];
clothesName[3];Cowboyhut
clothesName[4];Cowboyhut
clothesName[5];Cowboyhut
clothesName[6];Grüne Überschuhe
clothesName[7];purpurnen Überschuhe
clothesName[8];Schleifmaschinen
clothesName[9];Kampf-Stiefel
clothesName[10];Feldstiefel
clothesName[11];Gelb Überschuhe
clothesName[12];Astroboots
clothesName[13];Bieber Frisur
clothesName[14];Frisur
clothesName[15];emo-Frisur
clothesName[16];Chestnut Hairdo
clothesName[17];Blonde Frisur
clothesName[18];Kappe
clothesName[19];Grüne Mohawk
clothesName[20];Lila Mohikaner
clothesName[21];Red Mohawk
clothesName[22];Yellow Mohawk
clothesName[23];Afro
clothesName[24];Rambo Hairdo
clothesName[25];Gelber Helm
clothesName[26];Hard Hat
clothesName[27];Helm
clothesName[28];Vader Helm
clothesName[29];Pathfinder Helm
clothesName[30];Pathfinder Rüstung
clothesName[31];Vader-Rüstung
clothesName[32];Panzerweste
clothesName[33];Eisenpanzer
clothesName[34];Ammo Gürtel
clothesName[35];golden Chain
clothesName[36];Pathfinder-Tasche
clothesName[37];Rucksack
clothesName[38];Aktentasche
clothesName[39];Stalker Schulterpolster
clothesName[40];Vader Schulterpolster
clothesName[41];Eisen-Schulterpolster
clothesName[42];Stalker Stulpen
clothesName[43];Smartwatch
clothesName[44];Eisen Gauntlet
clothesName[45];Wristlet
clothesName[46];Uhr
clothesName[47];Blau Frisur
clothesName[48];Frau Rucksack
clothesName[49];Cutters Mask
clothesName[50];Guy Fawkes-Maske
clothesName[51];Magie Cowl
clothesName[52];Magie Cowl
clothesName[53];Kürbis
clothesName[54];Brille
clothesName[55];Hard Hat
clothesName[56];Schirmmütze
clothesName[57];Hut
skinName[0];Standard
skinName[1];Drugan
skinName[2];Afro
skinName[3];Pfadfinder
skinName[4];Soldat
skinName[5];Rambo
skinName[6];Iron Man
skinName[7];Vader
skinName[8];Agent
skinName[9];Mädchen
skinName[10];Polizist
skinName[11];Saitan Claus
bulletsNames[0];Bullets
bulletsNames[1];Cartridges
bulletsNames[2];Rockets
bulletsNames[3];Energie
AAS_Position;Position
AAS_Upper;höher
AAS_Lower;niedriger
AAS_Far;weiter
AAS_Near;näher
AAS_Right;Recht
AAS_Left;links
AAS_Size;Größen
AAS_Higher;Taller
AAS_Smaller;Kürzere
AAS_Longer;Längere
AAS_Shorter;Kürzere
AAS_Wider;Wider
AAS_Uje;Spiel
AAS_Opening_for_N_sec;Öffnung für
sec;Sekunden
AAS_rotation;Drehen
save;Speichern
BCS_cant_save_if_joined;--- Sie können Ihre Karte nicht speichern, nachdem Sie ein Spiel beigetreten sind! ---
BCS_only_owner_can_save;--- Nur der Karte Eigentümer der Karte speichern! ---
BCS_cant_save_in_battle;--- Sie können eine Karte im Kampf zu retten! ---
BCS_end_round;Round End
BCS_levelUpStrs[0];ALRIGHT!
BCS_levelUpStrs[1];KEEP IT UP!
BCS_levelUpStrs[2];EXCELLENT!
BCS_levelUpStrs[3];AUSGEZEICHNET!
BCS_levelUpStrs[4];LEVEL UP!
BCS_endGame_timeout;TIME'S UP!
BCS_endGame_ban;DU HAST verboten!
BCS_endGame_noSuvivours;Keine Überlebenden!
BCS_endGame_gameOver;GAME OVER!
BCS_endGame_lostConnection;Verbindung verloren ...
BCS_endGame_tryAgain;Versuchen Sie es erneut!
BCS_ban_from_server;--- Sie wurden vom Server verboten ---
BCS_disable_miscrophone;Deaktivieren Mikrofon
BCS_to_speak_press;Drücken Sie V zu sprechen
BCS_enable_microphone;Aktivieren Mikrofon
BCS_then_press_allow;Drücken Sie dann zulassen
BCS_get_VIP_to_speak;Erhalten Sie VIP-Status \ nto Ihre \ nmicrophone verwenden
BCS_start_test;Test-Karte
BCS_resume_game;Weiter Spiel ( `)
BCS_save_map;Speichern Karte (F10)
BCS_inventory_shop;Inventar / Store (C)
BCS_exit_from_game;Spiel beenden
BCS_allowed;ERLAUBT:
BCS_notallowed;VERBOTEN:
BCS_noobs_to_build;Neue Spieler bauen
BCS_forbidBuild;Verbieten Gebäude
BCS_allowBuild;Lassen Gebäude
BCS_ban;BAN
BCS_end_test;End Karte Test
BCS_name;Name
BCS_frags;Kills
BCS_deathes;Todesfälle
BCS_wait_while_saving;Die Karte wird gespeichert. Bitte warten ...
BCS_dont_forget_save_map;NICHT VERGESSEN nSpeichern IHR \ nmap \!
BCS_save_and_exit;Speichern und Beenden
BCS_dont_save_exit;Beenden ohne Speichern
BCS_new_level;Neue Ebene!
BCS_new_rang;Ihr neuer Rang:
next;nächste
BCS_exp;Erfahrung
BCS_time;Zeit
BCS_frags_per_minute;Kills pro Minute
BCS_earned;in diesem Kampf verdient:
BCS_choose_team;WÄHLEN SIE EIN TEAM
score;Partitur
BCS_enter;eingeben
BCS_loading;Wird geladen ...
BCS_advice;Beratung
BCS_speak_then_release;Sprechen Sie dann \ nrelease V
BCS_speaker_disabled;--- Mikrofon deaktiviert. Drücken Sie Esc ( `) ---
howto_play;F1 - Wie spiele ich?
howto_menu;Esc ( `) - Menü
howto_close;F1 - Schließen Hilfe
howto_walk;Gehen - WASD
howto_jump;Jump - Spacebar
howto_placeCube1;Platzieren Sie Block / Artikel
howto_placeCube2;rechte Maustaste
howto_removeCube1;Block FREI
howto_removeCube2;linke Maustaste
howto_inventory;C - Bestands
howto_chooseItem;1, 2, 3 ... - Artikelauswahl
howto_savemap;F10 - Speichern Karte
howto_chat;Geben Sie - Chat
howto_voiceChat;V - Voice Chat
howto_fullscreen;F12 - Vollbild
howto_options;O - Optionen
speedHackDetected;Speedhack erkannt
strTutor[0];Willkommen auf dem Schießstand, Soldat! Ihre Ausbildung in nahezu Kampfbedingungen durchgeführt werden. Ihre erste Aufgabe: Finden Sie einen Eingang zu dem verlassenen Labor! Um zu beginnen, schauen Sie sich um und einen Weg aus dieser Höhle zu finden!
strTutor[1];Sieht aus wie eine Falltür! Es führt zu Labor. Drücken Sie die Taste, um die Tür zu öffnen.
strTutor[2];Diese Staubsäulen am Ende des Raumes - das ist ein Geheimnis Antigravitationslift in Entwicklung! Um sie zu aktivieren, drücken Sie die Taste auf der linken Seite des Aufzugs.
strTutor[3];Gute Arbeit! Ich mag, wie Sie die Dinge zu erledigen! Jetzt sollte es eine Tür am Ende des Korridors sein. Sieht aus wie wir das Labor erreicht haben!
strTutor[4];Halt! Schauen Sie! Es gibt eine feindliche Zombie im angrenzenden Raum. PRESS C, Ihre pickax packen und den Feind zu vernichten!
strTutor[5];Weiter geht es, mich zu überraschen, Soldat! Jetzt sind die Dinge über wirklich interessant zu werden!
strTutor[6];Nun müssen Sie eine mächtige Waffe. Hier, nehmen Sie diese Maschinenpistole.
strTutor[7];Waffen können zur gleichen Zeit im Inventar, aktualisiert werden, um die Größe des Clips zu erhöhen
strTutor[8];Ein Granatwerfer. Und eine Horde von Zombies hinter dieser Tür. Sie wissen, was zu tun ist.
strTutor[9];Great job, Soldat! Gehen Sie auf die teleportieren!
strTutor[20];Hier ist deine Welt! Lassen Sie mich Ihnen sagen, wie zu bauen Dinge in ihm.
strTutor[23];Gute Arbeit! Sehen Sie, es ist Nacht. Wir brauchen etwas mehr Licht!
strTutor[25];Ausgezeichnet! Zeit, um Ihre Karte zu retten! Drücken Sie F10.
strTutor[26];Jetzt können Sie bauen, was auch immer Sie möchten! Viel Spaß!
miniStrTutor[0];Finden Sie den Tunnel in der Höhle
miniStrTutor[1];Klappen Sie den Hebel zum Öffnen der Tür
miniStrTutor[2];Drücken Sie die Taste, um den Aufzug zu aktivieren
miniStrTutor[3];Holen Sie sich das Labor
miniStrTutor[4];Verwenden Sie Ihre pickax den Zombie zu zerstören
miniStrTutor[5];Erklimmen Sie die Schritte zur Oberfläche.
miniStrTutor[6];Nehmen Sie die Maschinenpistole
miniStrTutor[7];Drücken Sie R und kaufen ein paar Kugeln
miniStrTutor[8];Zerstöre alle die Zombies
miniStrTutor[9];Treten Sie ein in die teleportieren
miniStrTutor[25];Speichern Karte - F10
tutor_need_reload;Drücken Sie R zu verwenden, einen anderen Clip
tutor_reload;R - Reload
tutor_choose_weapons;Wählen Sie die Waffen Abschnitt
tutor_choose_bullets;Wählen Sie den Ammo Abschnitt
tutor_buy_ammo;Kaufen Sie einen Clip
tutor_close_inventory;Schließen Sie Ihr Inventar (C oder die X-Taste)
tutor_kill_monsters;Öffnen Sie die Tür und zerstören die Monster
tutor_placeCube;Legen Sie einen Block mit der rechten Maustaste
tutor_placeMoreCubes;Legen Sie mehr Blöcke
tutor_open_inventory;Drücken Sie C zu öffnen Ihr Inventar
tutor_choose_cubes;Wählen Sie die Blöcke Abschnitt
tutor_choose_nature;Wählen Sie die Natur Abschnitt
tutor_choose_any_cube;Wählen Sie einen beliebigen Block
tutor_place_cube_inventar;Legen Sie einen Block in Ihrem Schnellbestands
tutor_remove_cube;Deaktivieren Sie einen Block mit der linken Maustaste
tutor_remove_cubes_more;Klar mehr Blöcke
tutor_place_fire;Legen Sie eine Taschenlampe mit der rechten Maustaste
tutor_choose_decor;Wählen Sie die Dekorationen Abschnitt
tutor_choose_light;Wählen Sie das Lichtschnitt
tutor_choose_fire;Wählen Sie die Fackel
tutor_buy_one_fire;1 x Taschenlampe
tutor_place_fire_inventar;Legen Sie die Fackel in der Schnell Inventar
tutor_kill_zombie_and_go;Töten Sie die Zombies und gehen durch die Tür
tutor_choose_axe;Wählen Sie die Pickax
tutor_buy_axe_forever;Kaufen Sie eine pickax
tutor_place_axe_inventar;Legen Sie die Picke in Ihrem Schnellbestands
short_name;--- Ihr Name muss länger als 3 Zeichen ---
rang_table;Rankings
params_health;Max Gesundheit
params_armor;Max Rüstung
param_speed;Geschwindigkeit
param_jump;Jump
param_defend;Ausdauer
vip_not_enougth;VIP - nicht genug Gold
vip_activated;VIP-Status aktiviert!
bank_name;BANK
inventory_name;INVENTORY
maximum;Max
