Polish
init_nickname;Wpisz nazwę postaci:
MissionType[3];Zabij {0} {1}
MissionType[4];Znajdź {0}
MissionType[5];Znajdź {0} w {1}
MissionType[6];Zabij {0} {1} {2} w
CubesTypes[0];natura
CubesTypes[1];budowa
CubesTypes[2];dekoracyjny
CubesTypes[3];szkło
CubesTypes[4];woda
CubesTypes[5];metal
DecorTypes[0];światło
DecorTypes[1];meble
DecorTypes[2];drzwi
DecorTypes[3];drabiny
DecorTypes[4];kwiaty
DecorTypes[5];dekoracje
DecorTypes[6];respawn
DecorTypes[7];drogi
DecorTypes[8];broń
DecorTypes[9];potwory
ItemsTypes[0];budowa
ItemsTypes[1];specjalny
ItemsTypes[2];walka
ItemsTypes[3];ruch
WeaponTypes[0];broń
WeaponTypes[1];amunicja
CharacterPages[0];streszczenie
CharacterPages[1];strój
CharacterPages[2];parametry
CharacterPages[3];status VIP
DeviceTypes[0];Przełączniki \ Przewody NAND
DeviceTypes[1];Drzwi windy, \ Platformy NAND
DeviceTypes[2];Pojazdy
ClothesType[0];skóra
ClothesType[1];głowa
ClothesType[2];tułów
ClothesType[3];z powrotem
ClothesType[4];herb
ClothesType[5];nogi
ClothesType[6];plecy
monsterName[0];Zombie
monsterName[1];agent
monsterName[2];Zombie Soldier
monsterName[3];Zombie Miner
monsterName[4];demon
monsterName[5];nóż
monsterName[6];DEAD-Man
monsterName[7];Bot 0x1
monsterName[8];Bot 0x2
AAnames[0];Pionowe drzwi
AAnames[1];drzwi pozioma
AAnames[2];wyciąg
AAnames[3];Pole Energii
triggerTypeName[0];Switch (ON / OFF)
triggerTypeName[1];Włącz (Open)
triggerTypeName[2];Wyłącz (Zamknij)
triggerTypeName[3];Teleport
triggerTypeName[4];Wyjście
triggerConditionActivateName[0];Gracz w pobliżu
triggerConditionActivateName[1];Gracz wciśnięty
triggerConditionActivateName[2];obrażenia otrzymane
triggerNeedKeyName[0];czerwony klawisz
triggerNeedKeyName[1];green Key
triggerNeedKeyName[2];niebieski Klucz
triggerNeedKeyName[3];gold Key
gameItemsNames[0];pochodnia
gameItemsNames[1];K Krok
gameItemsNames[2];Etap D
gameItemsNames[3];list
gameItemsNames[4];drzwi
gameItemsNames[5];drzwi stalowe
gameItemsNames[6];Drzwi stalowe 2
gameItemsNames[7];Podwójne drzwi drewnianych
gameItemsNames[8];Podwójne drzwi stalowe
gameItemsNames[9];brama
gameItemsNames[10];lampa
gameItemsNames[11];żyrandol
gameItemsNames[12];Red Ball
gameItemsNames[13];Zielona Ball
gameItemsNames[14];blue Ball
gameItemsNames[15];beczka
gameItemsNames[16];Żelazo Barrel
gameItemsNames[17];Żelazo Barrel 2
gameItemsNames[18];grób
gameItemsNames[19];płot
gameItemsNames[20];ogrodzenie
gameItemsNames[21];Załącznik 2
gameItemsNames[22];obraz
gameItemsNames[23];Zdjęcie 2
gameItemsNames[24];ława
gameItemsNames[25];Bench 2
gameItemsNames[26];grzyby
gameItemsNames[27];paproć
gameItemsNames[28];rumianek
gameItemsNames[29];trawa
gameItemsNames[30];kwiaty
gameItemsNames[31];tabela 1
gameItemsNames[32];tabela 2
gameItemsNames[33];krzesło
gameItemsNames[34];pierś
gameItemsNames[35];pochodnia
gameItemsNames[36];Blok lampy (biały)
gameItemsNames[37];Blok lampy (niebieski)
gameItemsNames[38];Blok lampy (zielony)
gameItemsNames[39];respawn
gameItemsNames[40];Red Respawn
gameItemsNames[41];niebieski Respawn
gameItemsNames[42];Zielona Respawn
gameItemsNames[43];złoto Respawn
gameItemsNames[44];Bullet Respawn
gameItemsNames[45];kartridż Respawn
gameItemsNames[46];rakieta Respawn
gameItemsNames[47];Energia Respawn
gameItemsNames[48];Apteczka Respawn
gameItemsNames[49];Armor Respawn
gameItemsNames[50];pistolet Respawn
gameItemsNames[51];Obrzyn Respawn
gameItemsNames[52];Uzi Respawn
gameItemsNames[53];Pistolet maszynowy Respawn
gameItemsNames[54];Granatnik Respawn
gameItemsNames[55];Anti-Tank Respawn
gameItemsNames[56];Zombie Respawn
gameItemsNames[57];przycisk
gameItemsNames[58];dźwignia
gameItemsNames[59];Ściana Lever
gameItemsNames[60];Teleport
gameItemsNames[61];niewidzialna Przełącznik
gameItemsNames[62];Zombie Respawn
gameItemsNames[63];Środek Respawn
gameItemsNames[64];żołnierz Respawn
gameItemsNames[65];Respawn górnik
gameItemsNames[66];demon Respawn
gameItemsNames[67];ukryty Item
gameItemsNames[68];Blok lampy (żółty)
gameItemsNames[69];Blok lampy (czerwona)
gameItemsNames[70];łóżko
gameItemsNames[71];Drabina stalowa
gameItemsNames[72];lina
gameItemsNames[73];Schody stalowe
gameItemsNames[74];jodła
gameItemsNames[75];Śnieg fir
gameItemsNames[76];Big fir
gameItemsNames[77];ATV Respawn
gameItemsNames[78];Springboard 3x1
gameItemsNames[79];Springboard 3x2
gameItemsNames[80];Springboard 3x3
gameItemsNames[81];Machine-gun Respawn
gameItemsNames[82];Banshee Respawn
gameItemsNames[98];oślepiające granat
gameItemsNames[99];pakiet Explosion
gameItemsNames[100];green Tree
gameItemsNames[101];blue Tree
gameItemsNames[102];Autumn Tree
gameItemsNames[103];Grow Ścianę
gameItemsNames[104];Apteczka i Armor
gameItemsNames[106];Bullet Set
gameItemsNames[107];dynamit
gameItemsNames[108];kopalnia
gameItemsNames[109];Woda Życia
gameItemsNames[110];Pionowe drzwi
gameItemsNames[111];drzwi pozioma
gameItemsNames[112];Mine Shaft
gameItemsNames[113];Pole Energii
gameItemsNames[114];Bullet Klip
gameItemsNames[115];Klip Cartridge
gameItemsNames[116];drut
gameItemsNames[117];rakieta Klip
gameItemsNames[118];Klip Energy
gameItemsNames[119];Mega Ammo
gameItemsDesc[0];Światła ciemnych miejsc
gameItemsDesc[9];Ogromny zamek bramy
gameItemsDesc[10];Ściany montowane światło elektryczne
gameItemsDesc[11];Żyrandol na suficie
gameItemsDesc[12];Pięknie świeci ciemnych miejsc
gameItemsDesc[13];Pięknie świeci ciemnych miejsc
gameItemsDesc[14];Pięknie świeci ciemnych miejsc
gameItemsDesc[35];Latarka w ziemi, która zapala dużą powierzchnię
gameItemsDesc[36];W przypadku budynków
gameItemsDesc[37];W przypadku budynków
gameItemsDesc[38];W przypadku budynków
gameItemsDesc[39];Respawn dla non-team trybów gry.
gameItemsDesc[40];Zespół Red respawn
gameItemsDesc[41];Niebieski Zespół respawn
gameItemsDesc[42];Zielona respawn zespołu
gameItemsDesc[43];Złoto respawn zespołu
gameItemsDesc[44];Pojawia się po pewnym czasie bitwy
gameItemsDesc[45];Pojawia się po pewnym czasie bitwy
gameItemsDesc[46];Pojawia się po pewnym czasie bitwy
gameItemsDesc[47];Pojawia się po pewnym czasie bitwy
gameItemsDesc[48];Pojawia się po pewnym czasie bitwy
gameItemsDesc[49];Pojawia się po pewnym czasie bitwy
gameItemsDesc[50];Pojawia się po pewnym czasie bitwy
gameItemsDesc[51];Pojawia się po pewnym czasie bitwy
gameItemsDesc[52];Pojawia się po pewnym czasie bitwy
gameItemsDesc[53];Pojawia się po pewnym czasie bitwy
gameItemsDesc[54];Pojawia się po pewnym czasie bitwy
gameItemsDesc[55];Pojawia się po pewnym czasie bitwy
gameItemsDesc[56];Potwory są wyświetlane w trybie Survival
gameItemsDesc[67];Ukrywanie elementów. Inni będą ich szukać!
gameItemsDesc[68];W przypadku budynków
gameItemsDesc[69];W przypadku budynków
gameItemsDesc[75];zapalone wieńce
gameItemsDesc[76];zapalone wieńce
gameItemsDesc[98];Wybuch oślepienie wroga
gameItemsDesc[99];Wybucha w rzucie
gameItemsDesc[100];Rośnie losowo wielkości zielonego drzewa
gameItemsDesc[101];Rośnie losowo wielkości Blue Tree
gameItemsDesc[102];Rośnie losowo wielkości drzewo do pomarańczowego
gameItemsDesc[103];Buduje 4 bloki na wybranej stronie
gameItemsDesc[104];Przywraca zdrowie i pancerz
gameItemsDesc[106];Wkłady kule i naboje
gameItemsDesc[107];Wybucha w 5 sekund
gameItemsDesc[108];Rozbija gdy podchodzili
gameItemsDesc[109];Respawns postać w trybie survival
gameItemsDesc[119];300bullets, 100cartridges, 50rockets, 300energy
specItemsName[0];rakieta Paczka
specItemsName[1];Taniec rosyjski
specItemsName[2];szalony taniec
specItemsName[3];Hit to, kochanie!
specItemsName[4];akrobata
specItemsName[5];EEEE!
specItemsName[6];Zwycięstwo!
specItemsName[7];Awaria!
specItemsName[8];Follow Me!
specItemsDesc[0];Aktywowany ze skokiem
specItemsDesc[1];Dance - H
specItemsDesc[2];Dance - H
specItemsDesc[3];Dance - H
specItemsDesc[4];Dance - H
specItemsDesc[5];Dance - H
specItemsDesc[6];Dance - H
specItemsDesc[7];Dance - H
specItemsDesc[8];Dance - H
move_learn;uczyć się
RankName[0];Nowicjusz
RankName[1];Junior Recruit
RankName[2];rekrut
RankName[3];Starszy Recruit
RankName[4];Rekrut 1st Class
RankName[5];żołnierz
RankName[6];Prywatna Recruit
RankName[7];Prywatne 2. Klasy
RankName[8];prywatny
RankName[9];Prywatna 1st Class
RankName[10];specjalista
RankName[11];Starszy Specjalista
RankName[12];Specjalista 1st Class
RankName[13];zwiadowca
RankName[14];Junior kapral
RankName[15];kapral
RankName[16];dowódca
RankName[17];Sierżant 3. klasa
RankName[18];Sierżant 2. Klasy
RankName[19];Sierżant 1st Class
RankName[20];Sierżant 3. klasa
RankName[21];Sierżant 2. Klasy
RankName[22];Sierżant 1st Class
RankName[23];dowódca
RankName[24];Junior Officer
RankName[25];Senior Officer
RankName[26];młodszy chorąży
RankName[27];Podporucznik
RankName[28];porucznik
RankName[29];kapitan
RankName[30];rekonesans Kapitan
RankName[31];Special Ops Kapitan
RankName[32];podpułkownik
RankName[33];pułkownik
RankName[34];ogólny
RankName[35];Generalny Wojska
RankName[36];Komendant Główny
RankName[37];marszałek
RankName[38];oderwanie się kapitan
RankName[39];oderwanie major
RankName[40];Ogólne porucznik
RankName[41];oderwanie pułkownik
RankName[42];Ogólne pułkownik
RankName[43];oderwanie Marszałek
RankName[44];mściciel
RankName[45];szaleniec
findPrefabsNames[0];Tajny dokument
findPrefabsNames[1];uran
newMapTypeName[0];zatoka
newMapTypeName[1];wyspa
newMapTypeName[2];Plains
newMapTypeName[3];rzeka
newMapTypeName[4];rozdroże
newMapTypeName[5];rozległe równiny
advices[0];Kolorowe chińskie lampiony są wspaniałe oświetlenie ciemnych miejscach!
advices[1];rakiety ppanc z naprowadzaniem myszy.
advices[2];Twoje ubrania daje stat premie!
advices[3];Nie zapomnij kupić kilka pocisków do walki!
advices[4];Kusza ma nieskończoną amunicję.
advices[5];F10 - Nie zapomnij zapisać swoją mapę!
advices[6];F10 - Nie zapomnij zapisać swoją mapę!
advices[7];Wszystkie bloki są bezpłatne dla graczy VIP.
advices[8];Poziomy VIP graczy i wzrost pieniądze szybciej
advices[9];Naciśnij przycisk V, aby włączyć czat głosowy
advices[10];Każda gra, w której jeden z Twoich znajomych jest odtwarzany jest pokazany po prawej stronie
advices[11];Spacer nad grobem zmarłej odtwarzaczem a on respawn
advices[12];W Survival Mode, pojawia się tylko 10% tyle doświadczenia za zabicie jak to zrobić w walce
advices[13];Jeśli usunąć element z mapy, nie zostanie przeniesiony do ekwipunku
advices[14];Nie lubię swoją mapę, ale nie mają wystarczająco dużo dla nowego gniazda? Generowanie nowej mapy!
advices[15];Otrzymasz dwa bonusowe złoto do 5 dnia grać!
advices[16];Zapasy VIP postaci (C) 2 gwiazdki lepiej!
advices[17];Zapasy VIP postaci (C) 2 gwiazdki lepiej!
gameTypeStr[0];Wszystko dozwolone
gameTypeStr[1];budowa
gameTypeStr[2];Free For All
gameTypeStr[3];przetrwanie
gameTypeStr[4];zespoły
gameTypeStr[5];misja
buildinMapName[0];Crossfire
buildinMapName[1];Blok Mięso
buildinMapName[2];miasto
buildinMapName[3];basen
buildinMapName[4];dwór
buildinMapName[5];magazyn
buildinMapName[6];wyspa
buildinMapName[7];Zion Tech
buildinMapName[8];wydmy
buildinMapName[9];Zombie Miasto
buildinMapName[10];arena
buildinMapName[11];Bibz
buildinMapName[12];strajk
buildinMapTeamsName[0];rzeka
buildinMapTeamsName[1];arena
buildinMapTeamsName[2];dwie wieże
buildinMapTeamsName[3];strajk
teamName[0];czerwony
teamName[1];niebieski
teamName[2];zielony
teamName[3];złoto
graphStrs[0];najszybsza
graphStrs[1];szybko
graphStrs[2];średni
graphStrs[3];Średni wysoki
graphStrs[4];wysoki
graphStrs[5];Ultra
weaponNames[0];kilof
weaponNames[1];pistolet
weaponNames[2];pistolet
weaponNames[3];Obrzyn
weaponNames[4];Uzi
weaponNames[5];Pistolet maszynowy
weaponNames[6];Granatnik
weaponNames[7];Anti-Tank
weaponNames[8];Laser Miecz
weaponNames[9];miecz
weaponNames[10];Plasma Gun
weaponNames[11];Karabin snajperski
weaponNames[12];Minigun
weaponNames[13];miotacz ognia
weaponNames[14];Chainsaw
weaponNames[15];Baseball Bat
weaponNames[16];machine Gun
weaponNames[17];Big Granatnik
weaponNames[18];AK-47
weaponNames[19];BFG
weaponNames[20];rozpruwacz
weaponNames[21];laser
weaponNames[22];pistolet
weaponNames[23];Plasma Sniper Rifle
weaponNames[24];Różdżka
weaponNames[25];Snowball Cannon
weaponNames[26];Plasma Gun
clothesName[0];
clothesName[1];
clothesName[2];
clothesName[3];Cowboy Hat
clothesName[4];Cowboy Hat
clothesName[5];Cowboy Hat
clothesName[6];zielone Ochraniacze
clothesName[7];Crimson Ochraniacze
clothesName[8];Szlifierka kątowa
clothesName[9];Buty bojowe
clothesName[10];Buty terenowe
clothesName[11];żółte Ochraniacze
clothesName[12];Astroboots
clothesName[13];Bieber fryzury
clothesName[14];fryzura
clothesName[15];Emo fryzury
clothesName[16];kasztan fryzury
clothesName[17];blond fryzury
clothesName[18];czapka
clothesName[19];Zielona Mohawk
clothesName[20];Purpurowy Mohawk
clothesName[21];Red Mohawk
clothesName[22];Żółty Mohawk
clothesName[23];Afro
clothesName[24];Rambo fryzury
clothesName[25];Żółty kask
clothesName[26];Kask
clothesName[27];kask
clothesName[28];Vader Helmet
clothesName[29];Pathfinder Kask
clothesName[30];Pathfinder Armor
clothesName[31];Vader Armor
clothesName[32];opancerzony Vest
clothesName[33];Żelazna Zbroja
clothesName[34];Ammo Belt
clothesName[35];golden Chain
clothesName[36];Pathfinder Bag
clothesName[37];plecak
clothesName[38];teczka
clothesName[39];Stalker Naramienniki
clothesName[40];Vader Naramienniki
clothesName[41];Naramienniki metalowe
clothesName[42];Stalker Rękawice
clothesName[43];SmartWatch
clothesName[44];Żelazo Gauntlet
clothesName[45];bransoletka
clothesName[46];Zobacz
clothesName[47];niebieski fryzury
clothesName[48];Kobiety Plecak
clothesName[49];Maska Cuttera
clothesName[50];Guy Fawkes Mask
clothesName[51];magia pokrywy
clothesName[52];magia pokrywy
clothesName[53];dynia
clothesName[54];okulary
clothesName[55];Kask
clothesName[56];czapka z daszkiem
clothesName[57];kapelusz
skinName[0];standard
skinName[1];Drugan
skinName[2];Afro
skinName[3];badacz
skinName[4];żołnierz
skinName[5];Rambo
skinName[6];iron Man
skinName[7];Vader
skinName[8];agent
skinName[9];dziewczynka
skinName[10];policjant
skinName[11];Saitan Mikołaj
bulletsNames[0];kule
bulletsNames[1];Kasety
bulletsNames[2];rakiety
bulletsNames[3];energia
AAS_Position;pozycja
AAS_Upper;wyższy
AAS_Lower;niższy
AAS_Far;dalej
AAS_Near;bliższy
AAS_Right;prawo
AAS_Left;lewo
AAS_Size;Rozmiary
AAS_Higher;Taller
AAS_Smaller;krótszy
AAS_Longer;dłuższy
AAS_Shorter;krótszy
AAS_Wider;szersze
AAS_Uje;mecz
AAS_Opening_for_N_sec;Otwór na
sec;sekund
AAS_rotation;Obrót
save;Zapisz
BCS_cant_save_if_joined;--- Nie można zapisać mapę po dołączył do gry! ---
BCS_only_owner_can_save;--- Tylko właściciel mapa może zapisać mapę! ---
BCS_cant_save_in_battle;--- Nie można zapisać mapę podczas walki! ---
BCS_end_round;Okrągły End
BCS_levelUpStrs[0];W porządku!
BCS_levelUpStrs[1];Tak trzymać!
BCS_levelUpStrs[2];DOSKONAŁY!
BCS_levelUpStrs[3];WSPANIAŁY!
BCS_levelUpStrs[4];Level Up!
BCS_endGame_timeout;CZAS'S UP!
BCS_endGame_ban;Byłaś zakazane!
BCS_endGame_noSuvivours;Nie przeżył!
BCS_endGame_gameOver;GAME OVER!
BCS_endGame_lostConnection;Utracono połączenie ...
BCS_endGame_tryAgain;Spróbuj jeszcze raz!
BCS_ban_from_server;--- Ty zostałeś wyrzucony z serwera ---
BCS_disable_miscrophone;Wyłącz Mikrofon
BCS_to_speak_press;Naciśnij przycisk V, aby porozmawiać
BCS_enable_microphone;Włącz mikrofon
BCS_then_press_allow;Następnie naciśnij przycisk Zezwól
BCS_get_VIP_to_speak;Uzyskać status VIP \ nto używać \ nmicrophone
BCS_start_test;Test Mapa
BCS_resume_game;Kontynuacja gry ( `)
BCS_save_map;Zapisz Mapa (F10)
BCS_inventory_shop;Zapasy / Store (C)
BCS_exit_from_game;Wyjście z gry
BCS_allowed;Dozwolone:
BCS_notallowed;Zabrania się:
BCS_noobs_to_build;Nowi gracze budują
BCS_forbidBuild;zabronić budowy
BCS_allowBuild;Pozwól budynku
BCS_ban;BAN
BCS_end_test;Koniec testu mapę
BCS_name;nazwa
BCS_frags;Zabójstwa
BCS_deathes;Zgony
BCS_wait_while_saving;Mapa jest zapisywany. Proszę czekać ...
BCS_dont_forget_save_map;NIE ZAPOMNIJ \ nZapisz SWÓJ \ nmap!
BCS_save_and_exit;Zapisać i wyjść
BCS_dont_save_exit;Wyjście bez zapisywania
BCS_new_level;Nowy poziom!
BCS_new_rang;Twoja nowa pozycja:
next;następny
BCS_exp;doświadczenie
BCS_time;czas
BCS_frags_per_minute;Zabójstwa na minutę
BCS_earned;Uzyskał w tej walce:
BCS_choose_team;Wybierz drużynę
score;wynik
BCS_enter;wchodzić
BCS_loading;Ładowanie ...
BCS_advice;rada
BCS_speak_then_release;Mów wtedy \ nrelease V
BCS_speaker_disabled;--- Mikrofon wyłączony. Naciśnij klawisz Esc ( `) ---
howto_play;F1 - Jak mam grać?
howto_menu;Esc ( `) - Menu
howto_close;F1 - Pomoc Zamknij
howto_walk;Spacer - WASD
howto_jump;Skok - Spacja
howto_placeCube1;Umieść Zablokuj / szt
howto_placeCube2;prawy przycisk myszy
howto_removeCube1;Usuń blok
howto_removeCube2;lewy przycisk myszy
howto_inventory;C - Inwentaryzacja
howto_chooseItem;1, 2, 3 ... - Wybór Przedmiot
howto_savemap;F10 - Mapa Zapisz
howto_chat;Enter - Czat
howto_voiceChat;V - Voice Chat
howto_fullscreen;F12 - Pełny ekran
howto_options;O - Opcje
speedHackDetected;wykryto Speedhack
strTutor[0];Witamy na strzelnicy, żołnierzu! Twoje szkolenie będzie prowadzone w warunkach niemal bojowych. Twoje pierwsze zadanie: znaleźć wejście do opuszczonego laboratorium! Aby rozpocząć, należy się rozejrzeć i znaleźć wyjście z tej jaskini!
strTutor[1];Wygląda jak drzwi pułapki! Prowadzi to do laboratorium. Naciśnij przycisk, aby otworzyć drzwi.
strTutor[2];Te słupy kurzu na końcu sali - to tajny wyciąg antygrawitacja w rozwoju! Aby go aktywować, należy nacisnąć przycisk na lewo od windy.
strTutor[3];Dobra robota! Lubię, jak się dostać rzeczy zrobić! Teraz nie powinno być drzwi w końcu korytarza. Wygląda na to, że osiągnęliśmy laboratorium!
strTutor[4];Halt! Spójrz! Jest wrogie zombie w sąsiednim pokoju. Naciśnij przycisk c, chwyć swój czekan i zniszczyć wroga!
strTutor[5];Nadal dziwi mnie, żołnierzu! Teraz rzeczy mają zamiar uzyskać naprawdę ciekawe!
strTutor[6];Teraz trzeba bardziej potężną broń. Proszę, weź ten pistolet maszynowy.
strTutor[7];Broń może być aktualizowany w wykazie, w tym samym czasie, aby zwiększyć rozmiar klipu
strTutor[8];Granatnika. A horda zombie za tymi drzwiami. Wiesz, co robić.
strTutor[9];Świetna robota, żołnierzu! Udaj się do teleportu!
strTutor[20];Oto twój świat! Powiem ci jak budować rzeczy w nim.
strTutor[23];Dobra robota! Spójrz, to jest noc. Potrzebujemy trochę więcej światła!
strTutor[25];Doskonała! Czas, aby zapisać swoją mapę! Naciśnij klawisz F10.
strTutor[26];Teraz można zbudować cokolwiek chcesz! Baw się dobrze!
miniStrTutor[0];Znajdź tunel w jaskini
miniStrTutor[1];Przesuń dźwignię, aby otworzyć drzwi
miniStrTutor[2];Naciśnij przycisk, aby włączyć wyciąg
miniStrTutor[3];Dostać się do laboratorium
miniStrTutor[4];Użyj czekan zniszczyć zombie
miniStrTutor[5];Wspinać się po schodach na powierzchni.
miniStrTutor[6];Weź pistolet maszynowy
miniStrTutor[7];Naciśnij klawisz R i kupić naboje
miniStrTutor[8];Zniszcz wszystkie zombi
miniStrTutor[9];Krok do teleportu
miniStrTutor[25];Zapisz Mapa - F10
tutor_need_reload;Naciśnij przycisk R, aby użyć innego klipu
tutor_reload;R - Odśwież
tutor_choose_weapons;Wybierz sekcję broń
tutor_choose_bullets;Wybierz sekcję Ammo
tutor_buy_ammo;Kup klipu
tutor_close_inventory;Zamknij ekwipunku (C lub przycisk X)
tutor_kill_monsters;Otwórz drzwi i zniszczyć potwory
tutor_placeCube;Umieścić blok prawym przyciskiem myszy
tutor_placeMoreCubes;Umieścić więcej bloków
tutor_open_inventory;Naciśnij przycisk C, aby otworzyć Inventory
tutor_choose_cubes;Wybierz sekcję Blocks
tutor_choose_nature;Wybierz sekcję Nature
tutor_choose_any_cube;Wybierz dowolny blok
tutor_place_cube_inventar;Umieścić blok w szybkiej inwentaryzacji
tutor_remove_cube;Usunąć blok lewym przyciskiem myszy
tutor_remove_cubes_more;Pogodne więcej bloków
tutor_place_fire;Umieścić pochodnię za pomocą prawego przycisku myszy
tutor_choose_decor;Wybierz sekcję Dekoracje
tutor_choose_light;Wybierz sekcję światła
tutor_choose_fire;Wybierz pochodnię
tutor_buy_one_fire;Zł 1 palnik
tutor_place_fire_inventar;Umieścić pochodnię w szybkiej inwentaryzacji
tutor_kill_zombie_and_go;Zabić zombie i przejść przez drzwi
tutor_choose_axe;Wybierz czekan
tutor_buy_axe_forever;Kup czekan
tutor_place_axe_inventar;Umieścić czekan w szybkiej inwentaryzacji
short_name;--- Imię musi być dłuższe niż 3 znaki ---
rang_table;Rankingi
params_health;max Zdrowie
params_armor;max Armor
param_speed;prędkość
param_jump;Skocz
param_defend;wytrzymałość
vip_not_enougth;VIP - za mało złota
vip_activated;Status VIP aktywna!
bank_name;BANK
inventory_name;SPIS
maximum;max
hello_chiter;Witam, oszust. odnotowano Twoja próba oszukiwać. Nie rób tego znowu!
server_error;Błąd serwera.
ban_cheater;Witam, oszust. Zostałeś zbanowany.
loading_data;Ładowanie danych.
newGameMapTypeStr[0];Moje mapy
newGameMapTypeStr[1];standardowe mapy
filterGameTypeStr[0];Wszelkie Rodzaj bojowa
filterGameTypeStr[1];Free For All
filterGameTypeStr[2];budowa
filterGameTypeStr[3];przetrwanie
filterGameTypeStr[4];zespoły
mapCanBreakStr[0];dowolny
mapCanBreakStr[1];Nie Zniszczenie
mapCanBreakStr[2];zniszczenie
mapDayLightStr[0];dowolny
mapDayLightStr[1];dzień
mapDayLightStr[2];Dzień i Noc
mapDayLightStr[3];noc
serverTypeStr[0];serwer
serverTypeStr[1];My \ nMaps
serverTypeStr[2];Wszelkie \ nmap
begin_game;Początek gier
any_map;Każda mapa
map;mapa
self_map;Gracz Mapa
wrong_password;--- NIEWAŻNE hasła! --- (Hasło napisane poniżej)
respawnTimeStr[0];10 sekund
respawnTimeStr[1];30 sekund
