key;ru
vip_info;Получите статус V.I.P. и у Вас будет:\n1. {0}% опыта и денег за уровни!\n2. Возможность разговора по микрофону прямо в игре!\n3. Все характеристики на 2 звезды выше!\n4. Возрождение за 30 сек. в режиме выживания!
is_weapon_power;Мощность: 
is_cash;баксов:
is_gold;монет:
is_upgrade;Увеличить - 
is_weapon_ammo_has;Обойм в наличии: 
is_weapon_ammo_buy;"	Купить"
is_need_more; - нужно ещё 
is_buy_for;Купить за 
player_level;Уровень: 
player_rank;Текущий ранг: 
player_kills;Фрагов:  
xp_next;опыта до сл. уровня
is_nick;Имя:
is_no_bonus;Без бонусов
is_no_item;Ничего
mission_developing;Миссия в разработке
mission_closed;Пройдите предыдущую миссию на 3 звезды.
episode_developing;Эпизод в разработке
MissionType[0];<empty>
MissionType[1];Найти выход
MissionType[2];Продержаться {0}
MissionType[3];Убить {0} {1} 
MissionType[4];Найти {0}
MissionType[5];Найти {0} за {1}
MissionType[6];Убить {0} {1} за {2}
CubesTypes[0];Природные
CubesTypes[1];Строительные
CubesTypes[2];Декоративные
CubesTypes[3];Стекло
CubesTypes[4];Вода
CubesTypes[5];Металлы
DecorTypes[0];Свет
DecorTypes[1];Мебель
DecorTypes[2];Двери
DecorTypes[3];Лестницы
DecorTypes[4];Растения
DecorTypes[5];Декор
DecorTypes[6];Респаун
DecorTypes[7];Дороги
DecorTypes[8];Оружия
DecorTypes[9];Монстры
ItemsTypes[0];Строительные
ItemsTypes[1];Спец. предметы
ItemsTypes[2];Боевые
ItemsTypes[3];Движения
WeaponTypes[0];Оружие
WeaponTypes[1];Патроны
CharacterPages[0];Сводка
CharacterPages[1];Одежда
CharacterPages[2];Параметры
CharacterPages[3];Статус V.I.P.
DeviceTypes[0];Переключатели\nи провода
DeviceTypes[1];Двери, лифты\nплатформы...
DeviceTypes[2];Другие механизмы
ClothesType[0];Скины
ClothesType[1];Голова
ClothesType[2];Торс
ClothesType[3];Спина
ClothesType[4];Руки
ClothesType[5];Ноги
ClothesType[6];Плечи
monsterName[0];Зомби
monsterName[1];Агент
monsterName[2];Зомби-солдат
monsterName[3];Зомби-шахтёр
monsterName[4];Демон
monsterName[5];Резак
monsterName[6];DEAD-Мороз
AAnames[0];Дверь вертикальная
AAnames[1];Дверь горизонтальная
AAnames[2];Лифт
AAnames[3];Силовое поле
triggerTypeName[0];Переключатель (вкл/выкл)
triggerTypeName[1];Включить (открыть)
triggerTypeName[2];Выключить (закрыть)
triggerTypeName[3];Телепорт
triggerTypeName[4];Выход
triggerConditionActivateName[0];Игрок рядом
triggerConditionActivateName[1];Игрок нажал
triggerConditionActivateName[2];Получен урон
triggerNeedKeyName[0];Красный ключ
triggerNeedKeyName[1];Зелёный ключ
triggerNeedKeyName[2];Синий ключ
triggerNeedKeyName[3];Золотой ключ
gameItemsNames[0];Факел
gameItemsNames[1];Ступеньки К
gameItemsNames[2];Ступеньки Д
gameItemsNames[3];Лестница
gameItemsNames[4];Дверь
gameItemsNames[5];Стальная дверь
gameItemsNames[6];Стальная дверь 2
gameItemsNames[7];Двойная д. дверь
gameItemsNames[8];Двойная с. дверь
gameItemsNames[9];Ворота
gameItemsNames[10];Светильник
gameItemsNames[11];Люстра
gameItemsNames[12];Красный шар
gameItemsNames[13];Зелёный шар
gameItemsNames[14];Синий шар
gameItemsNames[15];Бочка
gameItemsNames[16];Железная бочка
gameItemsNames[17];Железная бочка 2
gameItemsNames[18];Гроб
gameItemsNames[19];Забор
gameItemsNames[20];Ограда
gameItemsNames[21];Ограда 2
gameItemsNames[22];Картина
gameItemsNames[23];Картина 2
gameItemsNames[24];Скамейка
gameItemsNames[25];Скамейка 2
gameItemsNames[26];Грибы
gameItemsNames[27];Папоротник
gameItemsNames[28];Ромашки
gameItemsNames[29];Трава
gameItemsNames[30];Цветочки
gameItemsNames[31];Стол 1
gameItemsNames[32];Стол 2
gameItemsNames[33];Стул
gameItemsNames[34];Сундук
gameItemsNames[35];Факел
gameItemsNames[36];Куб-лампа(бел)
gameItemsNames[37];Куб-лампа(син)
gameItemsNames[38];Куб-лампа(зел)
gameItemsNames[39];Респаун
gameItemsNames[40];Респаун Красных
gameItemsNames[41];Респаун Синих
gameItemsNames[42];Респаун Зелёных
gameItemsNames[43];Респаун Золотых
gameItemsNames[44];Респаун патронов
gameItemsNames[45];Респаун гильз
gameItemsNames[46];Респаун ракет
gameItemsNames[47];Респаун энергии
gameItemsNames[48];Респаун аптечки
gameItemsNames[49];Респаун брони
gameItemsNames[50];Респаун ружъя
gameItemsNames[51];Респаун обреза
gameItemsNames[52];Респаун УЗИ
gameItemsNames[53];Респаун автомата
gameItemsNames[54];Респаун базуки
gameItemsNames[55];Респаун ПТУРС
gameItemsNames[56];Респаун зомби
gameItemsNames[57];Кнопка
gameItemsNames[58];Рычаг
gameItemsNames[59];Рычаг на стену
gameItemsNames[60];Телепортатор
gameItemsNames[61];Невидимый выключатель
gameItemsNames[62];Респаун зомби
gameItemsNames[63];Респаун агента
gameItemsNames[64];Респаун солдата
gameItemsNames[65];Респаун шахтёра
gameItemsNames[66];Респаун демона
gameItemsNames[67];Спрятанный предмет
gameItemsNames[68];Куб-лампа(жёл)
gameItemsNames[69];Куб-лампа(кр)
gameItemsNames[70];Кровать
gameItemsNames[71];Стальная лестница
gameItemsNames[72];Веревка
gameItemsNames[73];Стальные ступеньки
gameItemsNames[74];Елочка
gameItemsNames[75];Снежная елочка
gameItemsNames[76];Большая елочка
gameItemsNames[77];Респаун транспорта
gameItemsNames[78];Трамплин 3х1
gameItemsNames[79];Трамплин 3х2
gameItemsNames[80];Трамплин 3х3
gameItemsNames[81];Респаун турели
gameItemsNames[82];Респаун Банши
gameItemsNames[98];Ослепляющая граната
gameItemsNames[99];Взрыв пакет
gameItemsNames[100];Зелёное дерево
gameItemsNames[101];Синее дерево
gameItemsNames[102];Осеннее дерево
gameItemsNames[103];Вырастить стену
gameItemsNames[104];Аптечка и броня
gameItemsNames[106];Запас патронов
gameItemsNames[107];Динамит
gameItemsNames[108];Мина
gameItemsNames[109];Живая вода
gameItemsNames[110];Дверь вертикальная
gameItemsNames[111];Дверь горизонтальная
gameItemsNames[112];Лифтовая шахта
gameItemsNames[113];Силовое поле
gameItemsNames[114];Обойма патронов
gameItemsNames[115];Обойма гильз
gameItemsNames[116];Провод
gameItemsNames[117];Обойма ракет
gameItemsNames[118];Обойма энергии
gameItemsNames[119];Мега-запас
gameItemsDesc[0];Освещает тёмные места
gameItemsDesc[9];Огромные ворота для замков
gameItemsDesc[10];Электрический фонарь на стену
gameItemsDesc[11];Свечная люстра для потолка
gameItemsDesc[12];Красиво освещает тёмные места
gameItemsDesc[13];Красиво освещает тёмные места
gameItemsDesc[14];Красиво освещает тёмные места
gameItemsDesc[35];Факел в землю, освещение больших площадей
gameItemsDesc[36];Для встраивания в здания
gameItemsDesc[37];Для встраивания в здания
gameItemsDesc[38];Для встраивания в здания
gameItemsDesc[39];Респаун в некомандных режимах.
gameItemsDesc[40];Респаун красной команды
gameItemsDesc[41];Респаун синей команды
gameItemsDesc[42];Респаун зелёной команды
gameItemsDesc[43];Респаун золотой команды
gameItemsDesc[44];Появляются в бою через некоторое время
gameItemsDesc[45];Появляются в бою через некоторое время
gameItemsDesc[46];Появляются в бою через некоторое время
gameItemsDesc[47];Появляются в бою через некоторое время
gameItemsDesc[48];Появляются в бою через некоторое время
gameItemsDesc[49];Появляются в бою через некоторое время
gameItemsDesc[50];Появляются в бою через некоторое время
gameItemsDesc[51];Появляются в бою через некоторое время
gameItemsDesc[52];Появляются в бою через некоторое время
gameItemsDesc[53];Появляются в бою через некоторое время
gameItemsDesc[54];Появляются в бою через некоторое время
gameItemsDesc[55];Появляются в бою через некоторое время
gameItemsDesc[56];Монстры появляются в режиме Выживания
gameItemsDesc[67];Спрячьте предмет, пусть другие поищут
gameItemsDesc[68];Для встраивания в здания
gameItemsDesc[69];Для встраивания в здания
gameItemsDesc[75];Светится гирляндами
gameItemsDesc[76];Светится гирляндами
gameItemsDesc[98];Взрыв ослепляет противника
gameItemsDesc[99];Взрывается при броске
gameItemsDesc[100];Вырастает зелёное дерево случайного размера
gameItemsDesc[101];Вырастает синее дерево случайного размера
gameItemsDesc[102];Вырастает оранжевое дерево случайного размера
gameItemsDesc[103];Достраивает 4 куба на выбранную грань
gameItemsDesc[104];Восстанавливает здоровье и броню
gameItemsDesc[106];Восстанавливает патроны и гильзы
gameItemsDesc[107];Взрывается через 5 секунд
gameItemsDesc[108];Взрывается при приближении
gameItemsDesc[109];Воскрешает персонажа в режиме выживания
gameItemsDesc[119];300патронов, 100гильз, 50ракет, 300энергии
specItemsName[0];Ракетный ранец
specItemsName[1];Русский танец
specItemsName[2];Крейзи танец
specItemsName[3];Давай, детка!
specItemsName[4];Акробат
specItemsName[5];Ееее!
specItemsName[6];Победа!
specItemsName[7];Провал...
specItemsName[8];За мной!
specItemsDesc[0];Будет включаться при прыжке
specItemsDesc[1];Танцевать - русск. Р (англ H)
specItemsDesc[2];Танцевать - русск. Р (англ H)
specItemsDesc[3];Танцевать - русск. Р (англ H)
specItemsDesc[4];Танцевать - русск. Р (англ H)
specItemsDesc[5];Танцевать - русск. Р (англ H)
specItemsDesc[6];Танцевать - русск. Р (англ H)
specItemsDesc[7];Танцевать - русск. Р (англ H)
specItemsDesc[8];Танцевать - русск. Р (англ H)
move_learn;Выучить
RankName[0];Новобранец
RankName[1];Младший рекрут
RankName[2];Рекрут
RankName[3];Старший рекрут
RankName[4];Рекрут 1 класса
RankName[5];Солдат
RankName[6];Рядовой рекрут
RankName[7];Рядовой 2 класса
RankName[8];Рядовой
RankName[9];Рядовой 1 класса
RankName[10];Специалист
RankName[11];Старший специалист
RankName[12];Специалист 1 класса
RankName[13];Разведчик
RankName[14];Младший капрал
RankName[15];Капрал
RankName[16];Командир
RankName[17];Сержант 3 класса
RankName[18];Сержант 2 класса
RankName[19];Сержант 1 класса
RankName[20];Коммандор-сержант 3кл.
RankName[21];Коммандор-сержант 2кл
RankName[22];Коммандор-сержант 1кл
RankName[23];Коммандор
RankName[24];Младший офицер
RankName[25];Старший офицер
RankName[26];Младший лейтенант
RankName[27];Второй лейтенант
RankName[28];Лейтенант
RankName[29];Капитан
RankName[30];Капитан разведки
RankName[31];Капитан спецназа
RankName[32];Подполковник
RankName[33];Полковник
RankName[34];Генерал
RankName[35];Генерал Армии
RankName[36];Главнокомандующий
RankName[37];Маршал
RankName[38];Капитан отряда
RankName[39];Майор отряда
RankName[40];Генерал-лейтенант
RankName[41];Полковник отряда
RankName[42];Генерал-полковник
RankName[43];Маршал отряда
RankName[44];Мститель
RankName[45];Безумец
findPrefabsNames[0];Секретный документ
findPrefabsNames[1];Уран
newMapTypeName[0];Залив
newMapTypeName[1];Остров
newMapTypeName[2];Плоская
newMapTypeName[3];Река
newMapTypeName[4];Развилка
newMapTypeName[5];Большая плоская
advices[0];Цветные китайские шары светятся просто волшебно в темноте!
advices[1];Ракета из ПТУРС управляется мышкой.
advices[2];Одежда даёт  бонусы к характеристикам!
advices[3];Не забудьте купить патронов для боя!
advices[4];Арбалет стреляет бесконечно.
advices[5];F10 - не забывайте сохранять свою карту!
advices[6];F10 - не забывайте сохранять свою карту!
advices[7];Со статусом V.I.P. все кубы бесплатные
advices[8];Со статусом V.I.P. быстрее накапливается уровень и деньги
advices[9];Нажмите V для использования голосового чата
advices[10];Игра, в которой играет друг, сразу отобразится в сетевой битве справа.
advices[11];Пройдите по гробу погибшего игрока и он воскреснет
advices[12];В режиме выживания опыта за фраг получается в 10 раз меньше, чем в битве.
advices[13];Если удалить предмет с карты - он НЕ появится в инвентаре
advices[14];Не нравится ваша карта, а новый слот не по карману? Перегенерируйте карту!
advices[15];На 5 день игры Вам дадут бонус - 2 золотых.
advices[16];Инвентарь(С)-Перс-VIP - будь круче на 2 звезды!
advices[17];Инвентарь(С)-Перс-VIP - будь круче на 2 звезды!
gameTypeStr[0];Модно все
gameTypeStr[1];Строительство
gameTypeStr[2];Каждый сам за себя
gameTypeStr[3];Выживание
gameTypeStr[4];Команды
gameTypeStr[5];Миссия
buildinMapName[0];Перекрёстный огонь
buildinMapName[1];Мясной куб
buildinMapName[2];Город
buildinMapName[3];Бассейн
buildinMapName[4];Особняк
buildinMapName[5];Склад
buildinMapName[6];Остров
buildinMapName[7];Зион-Тех
buildinMapName[8];В песках
buildinMapName[9];Зомби-сити
buildinMapName[10];Арена
buildinMapName[11];Бибз
buildinMapName[12];Страйк
buildinMapTeamsName[4];Assault Pro
buildinMapTeamsName[5];Мотель
buildinMapTeamsName[0];Река
buildinMapTeamsName[1];Арена
buildinMapTeamsName[2];Две башни
buildinMapTeamsName[3];Страйк
teamName[0];Красные
teamName[1];Синие
teamName[2];Зелёные
teamName[3];Золотые
graphStrs[0];Быстрейшая
graphStrs[1];Быстрая
graphStrs[2];Простая
graphStrs[3];Хорошая
graphStrs[4];Отличная
graphStrs[5];Фантастика
weaponNames[0];Кирка
weaponNames[1];Арбалет
weaponNames[2];Ружьё
weaponNames[3];Обрез
weaponNames[4];Узи
weaponNames[5];Автомат
weaponNames[6];Базука
weaponNames[7];ПТУРС
weaponNames[8];Лазерный меч
weaponNames[9];Меч
weaponNames[10];Плазмоган
weaponNames[11];Снайперка
weaponNames[12];Миниган
weaponNames[13];Огнемёт
weaponNames[14];Бензопила
weaponNames[15];Бита
weaponNames[16];Пулемёт
weaponNames[17];Гранатомёт
weaponNames[18];Калашников
weaponNames[19];БФГ
weaponNames[20];Риппер
weaponNames[21];Лазер
weaponNames[22];Пистолет
weaponNames[23];Плазменная снайперка
weaponNames[24];Волшебная палочка
weaponNames[25];Снежная пушка
weaponNames[26];Плазменный гранатомёт
weaponNames[27];Плазмомёт
weaponNames[28];Выжигатель
weaponNames[29];Спец. пистолет
weaponNames[30];Тактический дробовик
weaponNames[31];Бронебойная снайперка
clothesName[3];Ковбойская шляпа
clothesName[4];Ковбойская шляпа
clothesName[5];Ковбойская шляпа
clothesName[6];Зелёные боты
clothesName[7];Малиновые боты
clothesName[8];Гриндерсы
clothesName[9];Боевые берцы
clothesName[10];Походные берцы
clothesName[11];Железные боты
clothesName[12];Космоботы
clothesName[13];Причёска Бибер
clothesName[14];Причёска
clothesName[15];Причёска Эмо
clothesName[16];Причёска каштан
clothesName[17];Причёска блондин
clothesName[18];Кепка
clothesName[19];Зелёный ирокез
clothesName[20];Фиолетовый ирокез
clothesName[21];Красный ирокез
clothesName[22];Жёлтый ирокез
clothesName[23];Афро
clothesName[24];Причёска Рэмбо
clothesName[25];Железный шлем
clothesName[26];Каска
clothesName[27];Шлем
clothesName[28];Шлем Вейдера
clothesName[29];Шлем Сталкера
clothesName[30];Броня Сталкера
clothesName[31];Броня Вейдера
clothesName[32];Бронежилет
clothesName[33];Железная броня
clothesName[34];Лента патронов
clothesName[35];Золотая цепь
clothesName[36];Ранец Сталкера
clothesName[37];Рюкзак
clothesName[38];Портфель
clothesName[39];Наплечники сталкера
clothesName[40];Наплечники Вейдера
clothesName[41];Железные наплечники
clothesName[42];Наручи сталкера
clothesName[43];Наручный планшет
clothesName[44];Железный наруч
clothesName[45];Напульсник
clothesName[46];Часы
clothesName[47];Голубая причёска
clothesName[48];Женский рюкзак
clothesName[49];Маска Резака
clothesName[50];Маска Гая Фокса
clothesName[51];Колдовской колпак
clothesName[52];Колдовской колпак
clothesName[53];Тыква
clothesName[54];Очки
clothesName[55];Каска
clothesName[56];Фуражка
clothesName[57];Шапка
skinName[0];Стандарт
skinName[1];Друган
skinName[2];Афро
skinName[3];Сталкер
skinName[4];Солдат
skinName[5];Рэмбо
skinName[6];Железный человек
skinName[7];Вейдер
skinName[8];Агент
skinName[9];Девочка
skinName[10];Коп
skinName[11];Дед Мороз
bulletsNames[0];Патроны
bulletsNames[1];Гильзы
bulletsNames[2];Ракеты
bulletsNames[3];Энергия
bulletsNames[4];Плазма
bulletsNames[5];Патроны 7.62
bulletsNames[6];Уран
bulletsNames[7];Ракеты ПТУРС
bulletsNames[8];Гранаты
bulletsNames[9];Патроны .300
AAS_Position;Положение
AAS_Upper;Выше
AAS_Lower;Ниже
AAS_Far;Дальше
AAS_Near;Ближе
AAS_Right;Правее
AAS_Left;Левее
AAS_Size;Размеры
AAS_Higher;Выше
AAS_Smaller;Ниже
AAS_Longer;Длиннее
AAS_Shorter;Короче
AAS_Wider;Шире
AAS_Uje;Уже
AAS_Opening_for_N_sec;Открывается за
sec;сек
AAS_rotation;Поворот
save;Сохранить
BCS_cant_save_if_joined;---Свою карту нельзя сохранить, если Вы присоединились к игре!---
BCS_only_owner_can_save;---Только владелец карты может её сохранить!---
BCS_cant_save_in_battle;---Карты нельзя сохранять в бою!---
BCS_end_round;Конец раунда
BCS_levelUpStrs[0];УРА! УРА! УРА!!!
BCS_levelUpStrs[1];ТАК ДЕРЖАТЬ!
BCS_levelUpStrs[2];ОТЛИЧНО!
BCS_levelUpStrs[3];ВЕЛИКОЛЕПНО!
BCS_levelUpStrs[4];С ПОВЫШЕНИЕМ!
BCS_endGame_timeout;ВРЕМЯ ВЫШЛО!
BCS_endGame_ban;ВАС ЗАБАНИЛИ!
BCS_endGame_noSuvivours;Никто не выжил...
BCS_endGame_gameOver;ИГРА ЗАВЕРШЕНА!
BCS_endGame_lostConnection;Потеряно соединение...
BCS_endGame_tryAgain;Попробуй ещё раз!
BCS_ban_from_server;--- Вас выгнали с сервера ---
BCS_disable_miscrophone;Отключить микрофон
BCS_to_speak_press;Чтобы говорить нажмите V
BCS_enable_microphone;Включить микрофон
BCS_then_press_allow;Затем нажмите Allow
BCS_get_VIP_to_speak;Получить статус V.I.P.\nчтобы использовать\nмикрофон
BCS_start_test;Начать тест карты
BCS_resume_game;Продолжить игру (`)
BCS_save_map;Сохранить карту (F10)
BCS_inventory_shop;Инвентарь/магазин (C)
BCS_exit_from_game;Выйти из игры
BCS_allowed;РАЗРЕШЕНО
BCS_notallowed;ЗАПРЕЩЕНО
BCS_noobs_to_build;Новым игрокам строить
BCS_forbidBuild;Запретить строить
BCS_allowBuild;Разрешить строить
BCS_ban;БАН
BCS_end_test;Закончить тест карты
BCS_name;Ник
BCS_frags;Фрагов
BCS_deathes;Смертей
BCS_wait_while_saving;Подождите, карта сохраняется...
BCS_dont_forget_save_map;НЕ ЗАБУДЬТЕ\nСОХРАНИТЬ\nКАРТУ!
BCS_save_and_exit;СОХРАНИТЬ И ВЫЙТИ
BCS_dont_save_exit;Не сохранять. Выйти.
BCS_new_level;Новый уровень!
BCS_new_rang;Ваш новый ранг
next;Дальше
BCS_exp;Опыта
BCS_time;Время
BCS_frags_per_minute;Фрагов в минуту
BCS_earned;За бой заработано
BCS_choose_team;ВЫБЕРИТЕ КОМАНДУ
score;Счёт
BCS_enter;Вступить
BCS_loading;Загружаем...
BCS_advice;Совет
BCS_speak_then_release;Говорите, потом\nотпустите V
BCS_speaker_disabled;---Микрофон выключен. Нажмите Esc(`)---
howto_play;F1 - как играть?
howto_menu;Esc(`) - меню
howto_close;F1 - закрыть справку
howto_walk;Ходить - ASDW
howto_jump;Прыжок - пробел
howto_placeCube1;Поставить куб/предмет
howto_placeCube2;правая кнопка мыши
howto_removeCube1;Убрать куб
howto_removeCube2;левая кнопка мыши
howto_inventory;C - инвентарь
howto_chooseItem;1,2,3... - выбор ячейки
howto_savemap;F10 - сохранить карту
howto_chat;Enter - чат
howto_voiceChat;V - голосовой чат
howto_fullscreen;F12 - полный экран
howto_options;O - настройки
speedHackDetected;Обнаружена попытка читерства - SpeedHack
strTutor[0];Добро пожаловать на полигон, солдат! Твоё обучение будет проходить в обстановке, близкой к боевой! Итак, задание - найти проход к заброшенной лаборатории! Осмотрись, и найди для начала выход из этого грота!
strTutor[1];Кажется, это чёрный вход. Эта дверь ведёт к лаборатории. Нажми на кнопку, чтобы открыть дверь.
strTutor[2];Столб пыли в конце комнаты - это секретная разработка антигравитационного лифта! Чтобы включить его - нажми кнопку слева от лифта.
strTutor[3];Молодец! Мне нравится, как ты справляешься! В конце этого коридора, должна быть дверь - похоже, мы дошли до лаборатории!
strTutor[4];Замри! Видишь - в соседней комнате стоит враг - зомби. Возьми кирку и уничтожь врага!
strTutor[5];Боец, ты не перестаёшь меня удивлять! Дальше будет веселее.
strTutor[6];Теперь нужно освоить более мощное оружие. Возьми этот автомат.
strTutor[7];Боец, не забудь про патроны! Ты можешь в любой момент игры купить патронов с базы, нажав R на клавиатуре.
strTutor[8];Базука... А за дверью толпа зомби.. Ты знаешь, что делать...
strTutor[9];Отлично, боец! Давай в телепорт, ты великолепно себя показал!
strTutor[20];А вот и твой мир! Давай, я расскажу, как в нём строить.
strTutor[23];Молодец! Смотри, наступила ночь! Нужно больше света!
strTutor[25];Отлично! Осталось сохранить твою карту! Нажми F10.
strTutor[26];Теперь можно построить все что угодно! Желаем приятной стройки!
miniStrTutor[0];Найди туннель в пещере
miniStrTutor[1];Нажать на рычаг, чтобы открыть дверь
miniStrTutor[2];Нажать кнопку, чтобы включить лифт
miniStrTutor[3];Дойти до лаборатории
miniStrTutor[4];Уничтожить зомби киркой
miniStrTutor[5];Подняться по ступенькам на поверхность
miniStrTutor[6];Взять автомат
miniStrTutor[7];Нажать R и купить патронов
miniStrTutor[8];Уничтожить всех зомби
miniStrTutor[9];Шагнуть в телепорт
miniStrTutor[25];Сохраните карту - F10
tutor_need_reload;Нажмите R, чтобы использовать обойму
tutor_reload;R - перезарядка
tutor_choose_weapons;Выберите раздел 'Оружие'
tutor_choose_bullets;Выберите раздел 'Патроны'
tutor_buy_ammo;Купите обойму
tutor_close_inventory;Закройте инвентарь (С или крестик)
tutor_kill_monsters;Откройте дверь и уничтожьте монстров
tutor_placeCube;Поставьте куб правой кнопкой мыши
tutor_placeMoreCubes;Поставьте ещё кубов
tutor_open_inventory;Нажмите C, чтобы открыть инвентарь
tutor_choose_cubes;Выберите раздел 'Кубы'
tutor_choose_nature;Выберите раздел 'Природные'
tutor_choose_any_cube;Выберите любой куб
tutor_place_cube_inventar;Положите куб в быстрый инвентарь
tutor_remove_cube;Разрушьте куб левой кнопкой мыши
tutor_remove_cubes_more;Разрушьте ещё кубов
tutor_place_fire;Поставьте факел правой кнопкой мыши
tutor_choose_decor;Выберите раздел 'Декорации'
tutor_choose_light;Выберите раздел 'Свет'
tutor_choose_fire;Выберите факел
tutor_buy_one_fire;Купите 1 факел
tutor_place_fire_inventar;Положите факел в быстрый инвентарь
tutor_kill_zombie_and_go;Убейте зомби и пройдите дальше в дверь
tutor_choose_axe;Выберите кирку
tutor_buy_axe_forever;Купите кирку навсегда
tutor_place_axe_inventar;Положите кирку в быстрый инвентарь
short_name;--- Имя должно быть длиннее 3 символов ---
rang_table;Таблица рангов
params_health;Макс. здоровье
params_armor;Макс. броня
param_speed;Скорость
param_jump;Прыжок
param_defend;Стойкость
vip_not_enougth;VIP - Не хватает монет
vip_activated;Статус V.I.P. активирован.
bank_name;БАНК
inventory_name;ИНВЕНТАРЬ
maximum;Максимум
hello_chiter;Привет, читер. Попытка записана в базу. Больше так не делай.
server_error;На сервере произошел сбой.
ban_cheater;Привет, читер. Тебя забанили. Если ты не виноват обратись к администрации группы.
loading_data;Загрузка данных.
newGameMapTypeStr[0];Мои Карты
newGameMapTypeStr[1];Встроенные карты
filterGameTypeStr[0];Любой тип битвы
filterGameTypeStr[1];Каждый сам за себя
filterGameTypeStr[2];Строительство
filterGameTypeStr[3];Выживание
filterGameTypeStr[4];Команды
mapCanBreakStr[0];Неважно
mapCanBreakStr[1];Без разрушений
mapCanBreakStr[2];С разрушениями
mapDayLightStr[0];Неважно
mapDayLightStr[1];День
mapDayLightStr[2];Смена дня и ночи
mapDayLightStr[3];Ночь
serverTypeStr[0];Сервера
serverTypeStr[1];Мои\nкарты
serverTypeStr[2];Любая\nкарта
begin_game;Начать игру
any_map;Любая карта
map;Карта
self_map;Карта игрока
wrong_password;НЕВЕРНЫЙ ПАРОЛЬ! (пароль пишется внизу справа)
respawnTimeStr[0];10 сек
respawnTimeStr[1];30 сек
respawnTimeStr[2];1 мин
respawnTimeStr[3];2 мин
respawnTimeStr[4];5 мин
respawnTimeStr[5];10 мин
respawnTimeStr[6];30 мин
respawnTimeStr[7];нет
monster_options;Настройка точки возрождения монстра
monster_type;Тип монстра
ressurection_time;Время возрождения
error_empty_map;Пустая карта - попробуйте другую игру
player_can_build_now;теперь может строить
player_cant_build_now;запрещено строить!
opt_name;Настройки
opt_graph;Графика
opt_worse;Хуже
opt_better;Лучше
opt_sound;Звук
opt_silent;..aa..
opt_louder;!!AA!!
opt_empty_screen;Чистый\nэкран
opt_smooth_follow;Сглаженное\nдвижение
